hotel_id,name,description
1585008h,Hard Rock Hotel and Casino,"hotel & casino skyscraper in Las Vegas, Nevada, USA"
1630814h,Hotel Weiss Kreuz,"hotel in Splügen, Graubünden, Switzerland"
5351073h,El Cortez,"historic hotel and casino in Las Vegas, Nevada, United States"
18536h,The Shard,"skyscraper in London, England"
12495h,Burj Khalifa,"skyscraper in Dubai, United Arab Emirates"
23265h,Hôtel des 3 Collèges,"hotel in Paris, France"
18547h,Shanghai Tower,"megatall skyscraper in Lujiazui, Shanghai, China"
5764716h,Safir Sharm Waterfalls Resort,"hotel in Sharm el-Sheikh, Egypt"
5764722h,Hilton Singapore,hotel in Singapore
25247913h,Commercial Hotel,"historic hotel building in Wadena, Minnesota, United States"
26237391h,Conrad Tokyo,"Contemporary luxury hotel, situated in downtown Tokyo."
25204442h,Hilton Zurich Airport,"hotel near Zurich airport, Switzerland"
24971211h,El Reno Hotel,"hotel building in El Reno, Oklahoma"
28680070h,Sanatório das Penhas da Saúde,"building in Covilhães, Castelo Branco District, Portugal"
28756542h,Palacio Oriol,"building in Madrid, Spain"
28755991h,Hotel Catalonia Atocha,building in Madrid
28675745h,15/17 Mostowa Street in Toruń,"building in Toruń, Poland"
28746397h,Hotel NH Paseo del Prado,building in Madrid
28756862h,Hotel Catalonia Gran Vía,building in Madrid
28757120h,Gran Vía 18,building in Madrid
29415039h,Hotel Alay,"building in Málaga Province, Spain"
28789756h,Hilton Garden Inn Tanger City Center,"hotel in Tanger, Morocco"
28769024h,Hotel Gran Vía,building in Madrid
29053691h,Hilton Coylumbridge,"hotel in Aviemore, United Kingdom"
28777988h,DoubleTree by Hilton Hotel Aberdeen Treetops,"hotel in Aberdeen, United Kingdom"
29000794h,DoubleTree by Hilton Hotel Darwin,"hotel in Northern Territory, Australia"
28757977h,Hotel Tryp Cibeles,"building in Madrid, Spain"
28757959h,Hotel Senator Gran Vía,building in Madrid
29053655h,Hilton Paris Charles de Gaulle Airport,"hotel at Charles de Gaulle Airport, France"
28844857h,El Palace Hotel Barcelona,"building in Barcelona Province, Spain"
29007102h,Papelera Española building,building in Madrid
550379h,Conrad Dubai,"hotel in Dubai, United Arab Emirates"
569978h,Caesars Palace,"casino hotel in Las Vegas, Nevada"
587108h,Yokohama Landmark Tower,"Commercial complex and skyscraper in Yokohama, Japan"
5430586h,Hilton Cairo Heliopolis,Cairo Heliopolis hotel
5764637h,Hilton Liverpool City Centre,"hotel in Liverpool, United Kingdom"
5594050h,Hotel Gran Meliá Don Pepe,"hotel in Marbella, Spain"
5475490h,"Four Seasons Hotel building, San Francisco",hotel and residential condominiums in San Francisco
5595660h,Brampton Grange,"house in Brampton, Cambridgeshire, United Kingdom"
5637110h,Hacienda,"hotel and casino in Paradise, Nevada"
5602124h,Greektown Casino Hotel,casino and hotel in the United States
5710559h,Paasitorni,"building in Helsinki, Finland"
5594866h,"Grand Palace Hotel, New Orleans",former apartment building and hotel in New Orleans
5764648h,Hilton London Metropole,"hotel in London, United Kingdom"
5472556h,Forte de São Sebastião,"cultural heritage monument in Angra do Heroísmo, Azores, Portugal"
5545989h,George Washington House,"historic building in Bladensburg, Maryland, United States"
5594662h,Grand Hyatt San Francisco,"Hotel in San Francisco, California"
5475499h,Four Seasons Hotel Chicago,"hotel in Chicago, United States"
5472026h,Fort Shelby Hotel,"high-rise hotel in Detroit, Michigan"
5646336h,Hampton by Hilton Liverpool/John Lennon Airport,"hotel in Liverpool, United Kingdom"
5705250h,Guged Caravanserai,"caravanserai in Guged, Iranian national heritage site"
5764519h,Hilton Chennai,"hotel in Chennai, India"
5764570h,Hilton Glasgow,"hotel in Glasgow, United Kingdom"
5764652h,DoubleTree by Hilton Hotel Luxembourg,hotel in Luxembourg
5683588h,Malek al-Tojar House (Yazd),"mansion in Yazd, Iran"
5764576h,Hilton Hanoi Opera,hotel
240711h,Hotel Chelsea,"hotel in Manhattan, New York City"
202599h,Stardust Resort and Casino,"former casino hotel in Las Vegas, Nevada"
220141h,Waldorf Astoria Berlin,"hotel in Berlin, Germany"
264203h,Vegas World,Las Vegas hotel and casino
264858h,M Resort,"casino hotel in Las Vegas, Nevada"
1637090h,"South Point Hotel, Casino & Spa","casino hotel in Las Vegas, Nevada"
1795050h,Palace Station,"casino hotel in Las Vegas, Nevada"
2135814h,Hilton Amsterdam,5-star hotel in Amsterdam with 271 guest rooms.
1630837h,Hotel Bodenhaus,hotel
2110681h,Prinzenpalais,"building in Bad Doberan, Germany"
1879918h,Löwenburger Hof,"building in Bad Honnef, Germany"
1874734h,Hotel International Prague,"hotel building in Prague, Czech Republic"
1630833h,"Hotel Berlin, Berlin",hotel
1682221h,Dagebüll lighthouse,"lighthouse in Schleswig-Holstein, Germany"
2048307h,Palms Casino Resort,"casino resort in Las Vegas, Nevada"
1743514h,Kirkland Hotel,"hotel building in Kingston, New York"
2141411h,Hilton Bandung,5-star hotel in Bandung.
1943482h,Hilton Molino Stucky Venice,"hotel in Venice, Italy"
1630911h,Hilton Warsaw City,"4-star hotel in Warsaw, Poland"
19564041h,Hedemora stadshotell,"building in Hedemora Municipality, Sweden"
23907594h,CAAC Tower,skyscraper in Shanghai
22583354h,Nový Pachtovský palác,building in Prague
23640921h,Bowen River Hotel,"historic site in Queensland, Australia"
22976715h,Hilton Dubai The Walk,"hotel in Dubai, United Arab Emirates"
23907601h,The London NYC,skyscraper in New York City
20830632h,Bluebeard's Castle,"building in Charlotte Amalie, St. Thomas, United States Virigin Islands"
20650664h,La Clef Louvre,"building in Paris, France"
24054070h,Hilton Cambridge City Centre,"hotel in Cambridge, United Kingdom"
20046383h,Hilton Bonn,"hotel in Bonn, Germany"
22118627h,Global Gate,"building in Nagoya, Aichi Prefecture, Japan"
23828028h,Edificio Gran Vía 4,"building in Bilbao, Spain"
24693404h,Bangor House,"historic former hotel at 174 Main Street in downtown Bangor, Maine"
19817552h,Delta Toronto Hotel,"Delta Hotels' flapship hotel in Toronto, Canada"
21504226h,Hilton Birmingham Metropole,"hotel near Birmingham International Airport, United Kingdom"
21532003h,Radisson Blu Hotel in Bamako,"building in Bamako, Mali"
24708167h,"Dominican monastery in Malá Strana, Prague",house in Prague
21619228h,Sheraton Guiyang Hotel,Hotel in People's Republic of China
22997753h,Bay Mills Resort & Casino,"casino and hotel located in Brimley, Michigan"
24241038h,Cambridge Hotel,"hotel in Cambridge, United Kingdom"
20828319h,Villa Santana,"building in Charlotte Amalie, St. Thomas, United States Virigin Islands"
23305592h,"Kewadin Casino, Hotel and Convention Center","casino, hotel, and convention center in Sault Ste. Marie, Michigan"
20075891h,Hilton Kyiv,"hotel in Kyiv, Ukraine"
23685988h,DoubleTree by Hilton Hotel Bristol North,"hotel in Bristol, United Kingdom"
21568919h,Tabacos de Filipinas building,"building in Barcelona Province, Spain"
19962146h,CloudNo7,"building in Stuttgart-Mitte, Stuttgart Government Region, Bade-Württemberg, Germany"
21402642h,18 Gramercy Park,"historic building in Manhattan, New York, United States"
22073967h,Hilton Bournemouth,"hotel in Bournemouth, United Kingdom"
19864040h,Ambassador Hotel,"historic hotel in Tulsa, Oklahoma, United States"
23646439h,"100 Queen's Gate Hotel London, Curio Collection by Hilton","hotel in London, United Kingdom"
28609672h,DoubleTree by Hilton Hotel Coventry,"hotel in Coventry, United Kingdom"
27826630h,DoubleTree by Hilton Hotel Cairns,"hotel in Cairns, Australia"
26242212h,Hilton Garden Inn Sunderland,"hotel in Sunderland, United Kingdom"
28675210h,Castle mill in Toruń,"building in Toruń, Poland"
27962079h,Ausonia Palace Hotel,"building in Venice, Italy"
26617946h,Kenwith Castle,"house in Abbotsham, Devon, United Kingdom"
