museum_id,country_id
162946m,40
162965m,38
525226m,183
526903m,948
525939m,43
525981m,30
526381m,237
529069m,183
531028m,183
170495m,43
174552m,41
174911m,16
176251m,29
510343m,183
510993m,155
511024m,31
512474m,16
516472m,43
516770m,183
520455m,183
522604m,31
280171m,30
281725m,40
281903m,55
284716m,16
284916m,29
286549m,183
287806m,31
163299m,948
163291m,183
163867m,40
164502m,183
165366m,55
167314m,183
168737m,16
6373m,145
289034m,214
293851m,40
301787m,20
301815m,219
301861m,36
304037m,40
573656m,183
573662m,183
573676m,183
573881m,38
449280m,183
452362m,183
452375m,39
452685m,183
454019m,36
190260m,39
190445m,159
190456m,232
431431m,55
435492m,33
435702m,40
436381m,183
439345m,218
443626m,35
445066m,159
445864m,45
447441m,183
451m,31
2946m,142
559807m,159
560033m,183
561350m,159
565125m,142
565296m,183
568938m,225
473832m,183
473848m,183
474122m,38
474171m,55
468496m,183
469084m,183
469234m,183
470385m,40
473434m,35
473831m,183
194626m,39
195019m,43
196954m,40
196982m,43
197482m,142
198590m,183
198593m,183
176356m,30
177125m,40
177174m,189
178813m,1747689
27342m,40
28924m,142
29587m,15180
29587m,159
29587m,34266
8323m,142
8397m,142
9485m,142
9495m,16
17454m,16
19164m,159
19877m,38
304972m,403
304797m,232
306604m,40
306611m,40
306615m,40
306628m,40
306671m,40
306678m,40
314082m,183
314441m,183
314446m,183
7341m,36
43282m,219
45002m,801
45368m,43
318594m,30
315894m,183
316137m,183
316298m,183
316943m,183
317388m,183
317940m,40
317959m,183
318577m,35
321783m,183
323169m,183
323280m,183
323860m,37
324263m,183
324658m,183
328036m,183
539095m,38
540718m,145
542084m,183
206101m,35
206518m,30
206929m,39
208559m,34
532996m,833
534403m,36
535586m,79
536582m,40
537195m,30
538095m,212
538183m,183
538275m,30
538394m,38
198603m,183
199335m,142
201001m,40
201428m,142
201902m,38
569019m,148
569445m,183
570472m,183
570620m,183
571773m,183
572230m,55
572269m,55
587617m,221
589336m,142
593909m,1028
593463m,40
595422m,16
595802m,31
573932m,29
574088m,183
574723m,183
575249m,43
576071m,159
576074m,183
576077m,183
474563m,55
474665m,30
474841m,183
474939m,43
474970m,38
477607m,183
477728m,38
478245m,155
405637m,159
390003m,39
390508m,183
394429m,183
394832m,213
396139m,183
396260m,34
398648m,40
186039m,40
186043m,183
188112m,213
189358m,35
542932m,183
545998m,20
547789m,142
549143m,142
550576m,41
46012m,31
46242m,40
455706m,258
455354m,183
456800m,801
457196m,183
457908m,38
458586m,183
458904m,28
490485m,35
490622m,33
490825m,30
491197m,40
491297m,35
493160m,55
495247m,1027
494695m,40
314818m,183
315050m,183
315089m,183
315187m,183
315644m,183
315889m,40
190497m,43
191189m,39
191193m,183
191399m,183
191397m,183
191427m,183
191739m,38
337224m,155
338367m,38
339765m,28
340128m,40
341718m,148
347676m,218
4890m,183
5556m,38
5901m,31
22600m,183
22616m,183
22625m,183
22838m,183
23212m,55
23270m,40
23868m,184
179134m,183
179199m,29
603892m,55
604953m,28
605463m,148
607126m,38
609167m,1028
608318m,213
608779m,36
609704m,148
611062m,142
612662m,29
74136m,145
74516m,39
75566m,142
81650m,43
