s,name
http://example.com/id/100877359h,Müritz Hotel
http://example.com/id/1011881h,Burg Großfurra
http://example.com/id/1015042h,Burghaus Burgsahr
http://example.com/id/10332618h,Mosteiro de Flor da Rosa
http://example.com/id/103331335h,"32 Bond Street, Ross"
http://example.com/id/10343928h,Palácio Belmonte
http://example.com/id/10344021h,Palácio de Estói
http://example.com/id/10352192h,Convento das Chagas (Vila Viçosa)
http://example.com/id/10352195h,Convento dos Lóios
http://example.com/id/10352198h,Pousada de Condeixa-a-Nova
http://example.com/id/10352202h,Capela e Hospital da Santa Casa da Misericórdia de Ourém
http://example.com/id/10352206h,Pousada de Viseu
http://example.com/id/10352207h,Antigo Convento do Desagravo do Santíssimo Sacramento
http://example.com/id/10352211h,Convento de Nossa Senhora da Boa Esperança
http://example.com/id/10352218h,Solar da Rede
http://example.com/id/10352219h,Convento dos Lóios
http://example.com/id/104234251h,British Hotel
http://example.com/id/104830558h,Welsbach Building
http://example.com/id/1049027h,Jumeirah Emirates Towers Hotel
http://example.com/id/1049209h,The Venetian
http://example.com/id/1051604h,Four Queens
http://example.com/id/10524043h,Hilton Nairobi
http://example.com/id/10524047h,Hilton Stockholm Slussen
http://example.com/id/10526554h,Hotel Knaust
http://example.com/id/10526572h,Hotel Billingen
http://example.com/id/105554563h,Heliopolis Towers Hotel
http://example.com/id/105621651h,Oubangui Hotel
http://example.com/id/106090892h,"Overtoom 33, Amsterdam"
http://example.com/id/106192327h,Can Ferrandell
http://example.com/id/1063195h,Torre de Madrid
http://example.com/id/106393048h,Hampton by Hilton Bursa
http://example.com/id/1064873h,Excalibur Hotel and Casino
http://example.com/id/106996884h,Na můstku 10
http://example.com/id/107121457h,Brinker Collegiate Institute
http://example.com/id/107607598h,Hotel Dudley
http://example.com/id/108294146h,"Flour Mill at 129 Port avenue, Valencia"
http://example.com/id/108309815h,Can Cera
http://example.com/id/108516880h,Villa Balbi
http://example.com/id/108729880h,Kasteel Solhof
http://example.com/id/108865646h,Lamar Hotel
http://example.com/id/109451447h,Panquinkazerne
http://example.com/id/110010967h,"SAii Lagoon Maldives, Curio Collection by Hilton"
http://example.com/id/110041692h,Central téléphonique Ségur
http://example.com/id/110147122h,Hilton Garden Inn London Heathrow Terminals 2 and 3
http://example.com/id/110251555h,Ostrovní 15
http://example.com/id/110407965h,Tours Odyssey
http://example.com/id/110660109h,Silk Road Hotel (Yazd)
http://example.com/id/110660372h,Dalan-e Behesht Hotel
http://example.com/id/110664670h,Khesht Abad Hotel
http://example.com/id/1106716h,"Kempinski Hotel Corvinus, Budapest"
http://example.com/id/110681137h,Zoerselhof
http://example.com/id/110735133h,Can Balaguer
http://example.com/id/1107391h,Sands Hotel and Casino
http://example.com/id/110831132h,Casa Gabino Bobo
http://example.com/id/111041461h,DoubleTree by Hilton Hannover Schweizerhof
http://example.com/id/111243216h,Hilton Singapore Orchard
http://example.com/id/111445383h,Chestnut Residence and Conference Centre
http://example.com/id/1116194h,The Leland Hotel
http://example.com/id/112111547h,Lepopirtti
http://example.com/id/112147576h,Torenhuis
http://example.com/id/112168936h,De Gouden Leeuw
http://example.com/id/113051152h,Putnam House
http://example.com/id/113164146h,Palmetto House
http://example.com/id/11330330h,Hilton Nagoya
http://example.com/id/11330332h,Hilton Odawara Resort & Spa
http://example.com/id/11330335h,Hilton Tokyo Bay
http://example.com/id/113564549h,Hôtel La Pérouse
http://example.com/id/1136654h,The D Las Vegas
http://example.com/id/1136841h,Fremont Hotel and Casino
http://example.com/id/11415297h,JR Gate Tower
http://example.com/id/114289194h,Grand Hôtel G. Scheers
http://example.com/id/115282741h,Nedermolen
http://example.com/id/116215655h,Hotel Antonio Perez
http://example.com/id/11700542h,Prince George Hotel
http://example.com/id/1189944h,Hotel Porta Fira
http://example.com/id/12020416h,Hotel Paříž
http://example.com/id/1237113h,Convento de Santa Maria do Bouro
http://example.com/id/13049756h,Canfranc-Estación
http://example.com/id/13103085h,Hôtel de Paris
http://example.com/id/1324543h,El Rancho Hotel & Motel
http://example.com/id/1340132h,Encore
http://example.com/id/1340365h,Westgate Las Vegas Resort & Casino
http://example.com/id/1342565h,Planet Hollywood Resort & Casino
http://example.com/id/1347033h,Dunes
http://example.com/id/13529145h,"The Biltmore Mayfair, LXR Hotels & Resorts"
http://example.com/id/1360313h,Treasure Island Hotel and Casino
http://example.com/id/1401439h,Schüttkasten Geras
http://example.com/id/1412478h,"The Waldorf Hilton, London"
http://example.com/id/1429071h,New York-New York Hotel and Casino
http://example.com/id/1436845h,Cosmopolitan of Las Vegas
http://example.com/id/14683065h,"333 Battery Street, San Francisco,"
http://example.com/id/14753688h,"Casa Alberola Alicante, Curio Collection by Hilton"
http://example.com/id/1481002h,The Ritz London
http://example.com/id/14954702h,107 Piccadilly
http://example.com/id/1504641h,Kaufhaus Jonaß
http://example.com/id/15068974h,Zein-o-Din Caravanserai
http://example.com/id/1514587h,The Palazzo
http://example.com/id/1535018h,Golden Nugget Las Vegas Hotel & Casino
http://example.com/id/1535845h,Riviera Hotel and Casino
http://example.com/id/15640601h,Palacio del Marqués de Velada
http://example.com/id/1580067h,Harrah's Las Vegas
http://example.com/id/1585008h,Hard Rock Hotel and Casino
http://example.com/id/15923583h,Conrad Hong Kong
http://example.com/id/16256099h,The Caledonian
http://example.com/id/1630814h,Hotel Weiss Kreuz
http://example.com/id/1630833h,"Hotel Berlin, Berlin"
http://example.com/id/1630837h,Hotel Bodenhaus
http://example.com/id/1630911h,Hilton Warsaw City
http://example.com/id/16318627h,Abeno Harukas
http://example.com/id/1637090h,"South Point Hotel, Casino & Spa"
http://example.com/id/16528268h,Aquarium et Musée de la Mer de Dinard
http://example.com/id/16621592h,Villa Torretta
http://example.com/id/167870h,Boardwalk Hotel and Casino
http://example.com/id/16833188h,Lloyd-Bahnhof
http://example.com/id/17043498h,Viciebsk
http://example.com/id/17183802h,"Castle Hotel, Ruthin"
http://example.com/id/17226268h,Hilton Tokyo
http://example.com/id/17229982h,Hilton Fukuoka Sea Hawk
http://example.com/id/17390148h,Citadel of Cascais
http://example.com/id/17444624h,Hilton Garden Inn Frankfurt Airport
http://example.com/id/17444904h,DoubleTree by Hilton Hotel London - Docklands Riverside
http://example.com/id/17532427h,Stanley House
http://example.com/id/17533843h,Polebarn House
http://example.com/id/17534979h,5 and 7 High Street and Falcon Hotel Annexe
http://example.com/id/17544934h,Barton Seagrave Hall
http://example.com/id/17549646h,"2, 3 and 4, Regency Square"
http://example.com/id/17554574h,Fritton Old Hall
http://example.com/id/17557267h,11 Market End
http://example.com/id/17793480h,Hilton Edinburgh Carlton
http://example.com/id/17834531h,1 Tower Knowe
http://example.com/id/17834546h,"Hawick, 1 Tower Dykeside"
http://example.com/id/17834566h,"Hawick, 3, 4 Tower Dykeside"
http://example.com/id/17835167h,2 Tower Dykeside
http://example.com/id/18008489h,Torre del Remei
http://example.com/id/18112026h,DoubleTree by Hilton Hotel London - Chelsea
http://example.com/id/18286846h,Waldorf Astoria Amsterdam
http://example.com/id/18340195h,Hybernská 12
http://example.com/id/18509174h,Fayrouz Ressort
http://example.com/id/18509281h,Hilton Hurghada Resort
http://example.com/id/18536h,The Shard
http://example.com/id/18712428h,Makkah Clock Royal Tower Hotel
http://example.com/id/1879918h,Löwenburger Hof
http://example.com/id/18813051h,Hilton Rotterdam
http://example.com/id/19307691h,Hilton Garden Inn London Heathrow Airport
