s,museum_name,country_name
http://example.com/id/100457281m,Lossiemouth Fisheries and Community Museum,United Kingdom
http://example.com/id/101004116m,Andrew Carnegie Birthplace Museum,United Kingdom
http://example.com/id/1026013m,Caithness Broch Centre,United Kingdom
http://example.com/id/102679684m,Dewsbury Bus Museum,United Kingdom
http://example.com/id/102928529m,Acton Scott Working Farm Museum,United Kingdom
http://example.com/id/103038475m,Aldeburgh Museum,United Kingdom
http://example.com/id/103054216m,Alfred Corry Lifeboat Museum,United Kingdom
http://example.com/id/1030648m,Campbeltown Library and Museum,United Kingdom
http://example.com/id/103160541m,Allen Gallery,United Kingdom
http://example.com/id/103308727m,Alyth Museum,United Kingdom
http://example.com/id/103310055m,Amelia Earhart Cottage Museum,United Kingdom
http://example.com/id/103618349m,306th Bombardment Group Museum,United Kingdom
http://example.com/id/103621847m,1940s Swansea Bay Museum,United Kingdom
http://example.com/id/103802422m,389th Bomb Group Memorial Exhibition,United Kingdom
http://example.com/id/103807293m,390th Bombardment Group Memorial Air Museum,United Kingdom
http://example.com/id/103810512m,Museum of the British Resistance Organisation,United Kingdom
http://example.com/id/103811640m,9th/12th Royal Lancers Museum,United Kingdom
http://example.com/id/103813473m,A World In Miniature Museum,United Kingdom
http://example.com/id/103813610m,The Crypt Museum,United Kingdom
http://example.com/id/103861978m,Hugh Miller Museum & Birthplace Cottage,United Kingdom
http://example.com/id/104853511m,Liverpool Beatles Museum,United Kingdom
http://example.com/id/104854327m,East End Women's Museum,United Kingdom
http://example.com/id/104869793m,The Rifles Museum,United Kingdom
http://example.com/id/104902896m,Museum of Homelessness,United Kingdom
http://example.com/id/105120194m,Bungay Museum,United Kingdom
http://example.com/id/105555386m,Kent Museum of the Moving Image,United Kingdom
http://example.com/id/106578123m,Antique Breadboard Museum,United Kingdom
http://example.com/id/107294638m,The Devil’s Porridge Museum,United Kingdom
http://example.com/id/107657705m,World of Glass,United Kingdom
http://example.com/id/107992494m,The Old School,United Kingdom
http://example.com/id/108042270m,Tangwick Haa museum,United Kingdom
http://example.com/id/108142914m,Valhalla Museum,United Kingdom
http://example.com/id/108381199m,Butcher Row House Museum,United Kingdom
http://example.com/id/108474261m,"Museum of Printing, Birkenhead",United Kingdom
http://example.com/id/108487666m,Exmouth Museum,United Kingdom
http://example.com/id/108670178m,Castle House Museum,United Kingdom
http://example.com/id/108701542m,Museum of Design in Plastics,United Kingdom
http://example.com/id/108806942m,Unst Heritage Centre,United Kingdom
http://example.com/id/108806949m,Unst Boat Haven,United Kingdom
http://example.com/id/108882161m,Sick To Death,United Kingdom
http://example.com/id/108882994m,W Hourston Blacksmiths Museum,United Kingdom
http://example.com/id/109252163m,Garioch Heritage Centre,United Kingdom
http://example.com/id/109719126m,Panacea Museum,United Kingdom
http://example.com/id/109996849m,Central Saint Martins Museum & Study Collection,United Kingdom
http://example.com/id/110521938m,Wymondham Heritage Museum,United Kingdom
http://example.com/id/110521944m,Margate Old Town Local History Museum,United Kingdom
http://example.com/id/110687141m,Queer Britain,United Kingdom
http://example.com/id/111632655m,"Danum Gallery, Library and Museum",United Kingdom
http://example.com/id/111817853m,Lancaster Maritime Museum,United Kingdom
http://example.com/id/111895849m,Carrickfergus Museum,United Kingdom
http://example.com/id/111975948m,Banchory Museum,United Kingdom
http://example.com/id/111975957m,Banff Museum,United Kingdom
http://example.com/id/111976011m,Fraserburgh Heritage Centre,United Kingdom
http://example.com/id/111976023m,Fordyce Joiner's Workshop,United Kingdom
http://example.com/id/112208934m,Neath Museum,United Kingdom
http://example.com/id/112613358m,World of Wedgwood,United Kingdom
http://example.com/id/112730065m,Saltaire Collection,United Kingdom
http://example.com/id/112977716m,Beside The Seaside Museum,United Kingdom
http://example.com/id/112977806m,Chimney Pot Museum,United Kingdom
http://example.com/id/112977808m,Horsforth Museum,United Kingdom
http://example.com/id/112977975m,Museum of Whitby Jet,United Kingdom
http://example.com/id/113000163m,Town House Museum of Lynn Life,United Kingdom
http://example.com/id/113000168m,Eling Experience,United Kingdom
http://example.com/id/113001392m,Bamburgh Castle Aviation Artefacts Museum,United Kingdom
http://example.com/id/113015770m,Glenfinnan Station Museum,United Kingdom
http://example.com/id/113032391m,The Storrington And District Museum,United Kingdom
http://example.com/id/113043989m,Frenchay Village Museum,United Kingdom
http://example.com/id/113046179m,50 and 61 Squadron Museum,United Kingdom
http://example.com/id/113056433m,Abergynolwyn Village Museum,United Kingdom
