name,cname
1 Cabot Square,United Kingdom
1 Princes Dock,United Kingdom
1 Snow Hill Plaza,United Kingdom
1 Tower Knowe,United Kingdom
1 West India Quay,United Kingdom
10 Holloway Circus,United Kingdom
10 Upper Bank Street,United Kingdom
"100 Queen's Gate Hotel London, Curio Collection by Hilton",United Kingdom
102 Petty France,United Kingdom
107 Piccadilly,United Kingdom
11 Market End,United Kingdom
111 Piccadilly,United Kingdom
"12 and 13, Warwick Road",United Kingdom
13 Market End,United Kingdom
"14 and 15, Warwick Road",United Kingdom
15 Market End,United Kingdom
16 Cook Street,United Kingdom
"17 & 19 Newhall Street, Birmingham",United Kingdom
1940s Swansea Bay Museum,United Kingdom
2 Tower Dykeside,United Kingdom
"2, 3 and 4, Regency Square",United Kingdom
20 Fenchurch Street,United Kingdom
25 Bank Street,United Kingdom
30 South Colonnade,United Kingdom
30 St Mary Axe,United Kingdom
306th Bombardment Group Museum,United Kingdom
389th Bomb Group Memorial Exhibition,United Kingdom
390th Bombardment Group Memorial Air Museum,United Kingdom
40 Bank Street,United Kingdom
400 kV Thames Crossing,United Kingdom
5 Canada Square,United Kingdom
5 and 7 High Street and Falcon Hotel Annexe,United Kingdom
50 and 61 Squadron Museum,United Kingdom
602 Squadron Museum,United Kingdom
8 Canada Square,United Kingdom
88 Wood Street,United Kingdom
99 Bishopsgate,United Kingdom
9th/12th Royal Lancers Museum,United Kingdom
A World In Miniature Museum,United Kingdom
Abbey House Museum,United Kingdom
Abbey Pumping Station,United Kingdom
Abbeydale Industrial Hamlet,United Kingdom
Abbot Hall Art Gallery,United Kingdom
"Abbot House, Dunfermline",United Kingdom
Aberaeron Toy Museum,United Kingdom
Aberconwy House Museum,United Kingdom
Aberdeen Art Gallery,United Kingdom
Aberdeen Maritime Museum,United Kingdom
Aberdeen Science Centre,United Kingdom
Aberdeenshire Farming Museum,United Kingdom
Aberdeenshire Museums Discovery Centre,United Kingdom
Aberfeldy Footbridge,United Kingdom
Abergynolwyn Village Museum,United Kingdom
"Aberystwyth University, School of Art Museum & Gallery",United Kingdom
Aberystwyth Yesterday,United Kingdom
Abingdon Bridge,United Kingdom
Abington Abbey,United Kingdom
Abriachan Museum,United Kingdom
Ackergill Tower,United Kingdom
Acton Scott Working Farm Museum,United Kingdom
Acton Town tube station,United Kingdom
Adam Viaduct,United Kingdom
Adamston Agricultural Museum,United Kingdom
Addington Palace,United Kingdom
Admiralty Arch,United Kingdom
Adur Bridge,United Kingdom
Aesica,United Kingdom
Age Of Steam,United Kingdom
Agricultural & Rural Museum,United Kingdom
Agricultural Museum,United Kingdom
Ainsworth And Sons Ltd Museum,United Kingdom
Aircraft Radio Museum,United Kingdom
Airdrie Museum,United Kingdom
Al-Rahma Mosque,United Kingdom
Albert Bridge,United Kingdom
Albert Memorial Clock,United Kingdom
"Albion House, Liverpool",United Kingdom
Albion Riverside,United Kingdom
Aldborough Roman town,United Kingdom
Aldeburgh Museum,United Kingdom
Aldgate tube station,United Kingdom
Alexander Keiller Museum,United Kingdom
Alford Heritage Centre,United Kingdom
Alford Valley Railway,United Kingdom
Alfred Corry Lifeboat Museum,United Kingdom
Alfred Denny Museum,United Kingdom
All Hallows Staining,United Kingdom
All Hallows-by-the-Tower,United Kingdom
All Hallows-on-the-Wall,United Kingdom
All Saints Church,United Kingdom
Allen Gallery,United Kingdom
Allhallows Museum,United Kingdom
Alloa Museum And Gallery,United Kingdom
Almeida Theatre,United Kingdom
Almond Aqueduct,United Kingdom
Almond Valley Heritage Centre,United Kingdom
Almonry Museum and Heritage Centre,United Kingdom
Alnwick Castle,United Kingdom
Alperton tube station,United Kingdom
Alscott Farm Museum,United Kingdom
Alstonefield Geohut,United Kingdom
Altitude 25,United Kingdom
Altolusso,United Kingdom
Alyth Museum,United Kingdom
Amberley Museum & Heritage Centre,United Kingdom
Amelia Earhart Cottage Museum,United Kingdom
American Air Museum,United Kingdom
American Museum,United Kingdom
American Museum and Gardens,United Kingdom
Amersham Fair Organ Museum,United Kingdom
Amgueddfa'r Gogledd (Museum of the North),United Kingdom
Amora London,United Kingdom
An Iodhlann,United Kingdom
"Anatomy Museum, University Of Aberdeen",United Kingdom
Anchor Press Museum,United Kingdom
Ancient House Museum,United Kingdom
Anderton Boat Lift,United Kingdom
Andover Museum and Museum of the Iron Age,United Kingdom
Andrew Carnegie Birthplace Memorial Museum,United Kingdom
Andrew Carnegie Birthplace Museum,United Kingdom
Andrew Logan Museum of Sculpture,United Kingdom
Andy Tyrie Interpretive Centre,United Kingdom
Angel of the North,United Kingdom
Angel tube station,United Kingdom
Angus Folk Museum,United Kingdom
Ankers House Museum,United Kingdom
Annan Bridge,United Kingdom
Annan Museum,United Kingdom
Annan railway station,United Kingdom
Anniesland Court,United Kingdom
Anstruther nuclear bunker,United Kingdom
Antique Breadboard Museum,United Kingdom
Antonine Wall,United Kingdom
Apedale Heritage Centre,United Kingdom
Applecross Heritage Centre,United Kingdom
Appleford Railway Bridge,United Kingdom
Aray Bridge,United Kingdom
ArcelorMittal Orbit,United Kingdom
Arch of Remembrance,United Kingdom
Archway Bridge,United Kingdom
Archway tube station,United Kingdom
Arlington Mill Museum,United Kingdom
Armadale Museum,United Kingdom
Armagh County Museum,United Kingdom
Armagh Robinson Library,United Kingdom
Armourgeddon Military Museum,United Kingdom
Arnold Bennett Museum,United Kingdom
