s,name,cname
http://example.com/id/10000136m,Friedrichshafen school museum,Germany
http://example.com/id/1000590m,Ferenczy Museum,Hungary
http://example.com/id/1000780m,Chinese Museum of Medical History,People's Republic of China
http://example.com/id/100144719m,Miraflores Locks Visitors Center,Panama
http://example.com/id/100152068m,"Old Court House, Pingelly",Australia
http://example.com/id/1002016m,Buffalo Nations Luxton Museum,Canada
http://example.com/id/100213642m,Summit Historical Society,United States of America
http://example.com/id/100252269m,Museum of Colonial Religious Art,Panama
http://example.com/id/100263681m,Ghent University Museum,Belgium
http://example.com/id/100271920m,Tressie's Museum & Caravan Park,Australia
http://example.com/id/100326403m,Cumberland Island National Seashore Museum,United States of America
http://example.com/id/100348225m,Mgungundlovu Multimedia Centre,South Africa
http://example.com/id/100410602m,Aloe Vera Ibiza Museum,Spain
http://example.com/id/100456245m,Rättvik's Nature Museum,Sweden
http://example.com/id/100457281m,Lossiemouth Fisheries and Community Museum,United Kingdom
http://example.com/id/100530088m,Openluchtmuseum Fort Nieuw-Amsterdam,Suriname
http://example.com/id/100586258m,Východočeský památník celnictví,Czech Republic
http://example.com/id/1006584m,Fürdőmúzeum,Hungary
http://example.com/id/100709743m,Tumurun Private Museum,Indonesia
http://example.com/id/100744628m,Museum of Sunclocks,Austria
http://example.com/id/100748253m,Villa Finale,United States of America
http://example.com/id/100761475m,centre d'interprétation multiethnique de Rawdon,Canada
http://example.com/id/100786302m,Machine Tool Museum,Russia
http://example.com/id/100878504m,Mummers Museum,United States of America
http://example.com/id/100894861m,Silva Kaputikyan House-Museum,Armenia
http://example.com/id/100955379m,Theodoros Papagiannis museum of contemporary art,Greece
http://example.com/id/1009599m,Bunkermuseum Frauenwald,Germany
http://example.com/id/100979939m,Museum of Folk Art,Russia
http://example.com/id/100979952m,Museum of Chukotka Heritage,Russia
http://example.com/id/100995577m,Casa Museo Niceto Alcalá-Zamora,Spain
http://example.com/id/101004116m,Andrew Carnegie Birthplace Museum,United Kingdom
http://example.com/id/101044863m,Ryazanka Estate,Russia
http://example.com/id/1010647m,Burg (Klagenfurt),Austria
http://example.com/id/101069831m,Heritage House - IPHAN Alagoas,Brazil
http://example.com/id/101072725m,Pierre Chalita Foundation (Jaraguá),Brazil
http://example.com/id/1011471m,Museum of Dieppe,France
http://example.com/id/101265669m,Hereke Silk Weaving and Carpet Factory,Turkey
http://example.com/id/1012867m,Kernburg,Germany
http://example.com/id/1013453m,Burg Pappenheim,Germany
http://example.com/id/1013517m,Burg Posterstein,Germany
http://example.com/id/1013562m,château de Raeren,Belgium
http://example.com/id/1013645m,Burg Reinsberg,Austria
http://example.com/id/1014027m,Burg Spielberg,Germany
http://example.com/id/101405593m,Rossini national museum,Italy
http://example.com/id/1014157m,Strechau Castle,Austria
http://example.com/id/1014536m,Burg Wels,Austria
http://example.com/id/101477076m,Varala Museum of Gymnastics,Finland
