s,o
http://example.com/id/10000136m,museum in Germany
http://example.com/id/1000054b,"castle in Palermo, Sicily, Italy"
http://example.com/id/1000054w,"castle in Palermo, Sicily, Italy"
http://example.com/id/1000590m,in Szentendre
http://example.com/id/1000780m,museum
http://example.com/id/1000781b,medieval tower in Münster
http://example.com/id/100144719m,visitors center in Panama
http://example.com/id/100151800b,"Railroad (railway) tunnel in Weilburg, Limburg-Weilburg, Hesse, Germany; Weilburg, Limburg-Weilburg, Hesse, Germany"
http://example.com/id/100152068m,museum in Western Australia
http://example.com/id/1001643b,high-speed railway line in Italy
http://example.com/id/100166601b,suspension footbridge in Portugal
http://example.com/id/1002016m,"museum in Banff, Alberta, Canada"
http://example.com/id/100213642m,"historical society and museum in Summit, New Jersey"
http://example.com/id/100252269m,museum and former church in Panama
http://example.com/id/100263681m,Belgian museum at Ghent
http://example.com/id/100271920m,Caravan park and museum in Western Australia
http://example.com/id/100272163b,"road bridge across the Var River in Carros, France"
http://example.com/id/100287554b,"Road tunnel in Malaussène, Alpes-Maritimes (06), Provence-Alpes-Côte d'Azur, France; Malaussène, Alpes-Maritimes (06), Provence-Alpes-Côte d'Azur, France"
http://example.com/id/100287609b,"Motorway bridge / freeway bridge in Porta Westfalica, Minden-Lübbecke, North Rhine-Westphalia, Germany; Porta Westfalica, Minden-Lübbecke, North Rhine-Westphalia, Germany"
http://example.com/id/100287662b,"Pedestrian bridge (footbridge) in Aberfeldy, Perth and Kinross, Scotland, United Kingdom; Aberfeldy, Perth and Kinross, Scotland, United Kingdom"
http://example.com/id/100287874b,"Road tunnel in León, Castile-Leon, Spain; León, Castile-Leon, Spain"
http://example.com/id/100288026b,Pedestrian bridge (footbridge) in Singapore; Singapore
http://example.com/id/100288769b,"Railroad (railway) tunnel in Saint-Dalmas-de-Tende, La Brigue, Alpes-Maritimes (06), Provence-Alpes-Côte d'Azur, France; Saint-Dalmas-de-Tende, La Brigue, Alpes-Maritimes (06), Provence-Alpes-Côte d'Azur, France"
http://example.com/id/100293283b,"Road bridge in Berlin-Neukölln, Neukölln, Berlin, Germany; Berlin-Neukölln, Neukölln, Berlin, Germany"
http://example.com/id/100293380b,"Road bridge in Vianden, Luxembourg; Vianden, Luxembourg"
http://example.com/id/100294398b,"Road bridge in Grove, Shawnee County, Kansas, USA; Grove, Shawnee County, Kansas, USA"
http://example.com/id/100296429b,"Motorway bridge / freeway bridge in Berga, Mansfeld-Südharz, Saxony-Anhalt, Germany; Berga, Mansfeld-Südharz, Saxony-Anhalt, Germany"
http://example.com/id/100296905b,"Road bridge in Mangaweka, Manawatu-Wanganui, New Zealand; Mangaweka, Manawatu-Wanganui, New Zealand"
http://example.com/id/100297710b,"Motorway bridge / freeway bridge in Villieu-Loyes-Mollon, Ain (01), Rhône-Alpes, France; Villieu-Loyes-Mollon, Ain (01), Rhône-Alpes, France"
http://example.com/id/100298149b,"Road bridge in Urt, Pyrénées-Atlantiques (64), Aquitaine, France; Urt, Pyrénées-Atlantiques (64), Aquitaine, France"
http://example.com/id/100298438b,"Road bridge in Gelsenkirchen, North Rhine-Westphalia, Germany; Gelsenkirchen, North Rhine-Westphalia, Germany"
http://example.com/id/100299086b,"Aqueduct bridge in Saint-Julien-Mont-Denis, Savoie (73), Rhône-Alpes, France; Saint-Julien-Mont-Denis, Savoie (73), Rhône-Alpes, France"
http://example.com/id/100299287b,"Road bridge in Montfrin, Gard (30), Languedoc-Roussillon, France; Montfrin, Gard (30), Languedoc-Roussillon, France"
http://example.com/id/100299710b,"Road bridge in Datteln, Recklinghausen (Kreis), North Rhine-Westphalia, Germany; Datteln, Recklinghausen (Kreis), North Rhine-Westphalia, Germany"
http://example.com/id/100299917b,"Motorway bridge / freeway bridge in Rothenburg ob der Tauber, Ansbach (Kreis), Bavaria, Germany; Rothenburg ob der Tauber, Ansbach (Kreis), Bavaria, Germany"
http://example.com/id/100303173b,"Road bridge in Sankt Blasien, Waldshut (Kreis), Baden-Württemberg, Germany; Sankt Blasien, Waldshut (Kreis), Baden-Württemberg, Germany"
http://example.com/id/100309486b,"Road bridge in Nipah Island, Riau Islands, Indonesia; Nipah Island, Riau Islands, Indonesia Setoko Island, Riau Islands, Indonesia"
http://example.com/id/100309736b,"High-speed rail bridge in Ingersleben, Börde, Saxony-Anhalt, Germany; Ingersleben, Börde, Saxony-Anhalt, Germany"
http://example.com/id/100309951b,"flying railway junction in Rugby, Warwickshire, West Midlands, UK, taking the Rugby-Birmingham line over the West Coast Main Line"
http://example.com/id/100310390b,"road bridge in Pau, Pyrénées-Atlantiques, France"
http://example.com/id/100311164b,"Motorway bridge / freeway bridge in Schwarmstedt, Heidekreis, Lower Saxony, Germany; Schwarmstedt, Heidekreis, Lower Saxony, Germany"
http://example.com/id/100313325b,"original use: Railroad (railway) bridge in Marcillac-Vallon, Aveyron (12), Midi-Pyrénées, France; Marcillac-Vallon, Aveyron (12), Midi-Pyrénées, France"
http://example.com/id/100313462b,"Road bridge (under construction) in Saline-les-Bains, Saint-Paul, Réunion (974), France; Saline-les-Bains, Saint-Paul, Réunion (974), France"
