s,name
http://example.com/id/10000136m,Friedrichshafen school museum
http://example.com/id/1000054b,Zisa Castle
http://example.com/id/1000054w,Zisa Castle
http://example.com/id/1000590m,Ferenczy Museum
http://example.com/id/1000780m,Chinese Museum of Medical History
http://example.com/id/1000781b,Buddenturm
http://example.com/id/100144719m,Miraflores Locks Visitors Center
http://example.com/id/100151800b,Weilburg Railroad Tunnel
http://example.com/id/100152068m,"Old Court House, Pingelly"
http://example.com/id/1001643b,Florence–Rome high-speed railway
http://example.com/id/100166601b,516 Arouca
http://example.com/id/1002016m,Buffalo Nations Luxton Museum
http://example.com/id/100213642m,Summit Historical Society
http://example.com/id/100252269m,Museum of Colonial Religious Art
http://example.com/id/100263681m,Ghent University Museum
http://example.com/id/100271920m,Tressie's Museum & Caravan Park
http://example.com/id/100272163b,Pont de la Manda
http://example.com/id/100287554b,Reveston Tunnel
http://example.com/id/100287609b,Schermbeck A Viaduct
http://example.com/id/100287662b,Aberfeldy Footbridge
http://example.com/id/100287874b,Barrios Tunnel
http://example.com/id/100288026b,Henderson Road Bridge
http://example.com/id/100288769b,Biogna Tunnel
http://example.com/id/100293283b,Britzer-Allee-Brücke
http://example.com/id/100293380b,Pont de Vianden
http://example.com/id/100294398b,Big Soldier Creek Bridge
http://example.com/id/100296429b,Taubentalsbach Viaduct
http://example.com/id/100296905b,Mangaweka Bridge
http://example.com/id/100297710b,Villieu Viaduct
http://example.com/id/100298149b,Urt Bridge
http://example.com/id/100298438b,Sutum Bridge
http://example.com/id/100299086b,Saint-Julien Canal Bridge
http://example.com/id/100299287b,Montfrin Bridge
http://example.com/id/100299710b,Ahsener Brücke
http://example.com/id/100299917b,Wolfsau Viaduct
http://example.com/id/100303173b,Grüne Brücke
http://example.com/id/100309486b,Setoko-Nipah Bridge
http://example.com/id/100309736b,Eisenbahnbrücke über die Apfelstädt
http://example.com/id/100309951b,Rugby Flyover
http://example.com/id/100310390b,Pont de Pau
http://example.com/id/100311164b,Allerbrücke A7
http://example.com/id/100313325b,Marcillac Railroad Viaduct
http://example.com/id/100313462b,Tabac Gorge Viaduct
http://example.com/id/100313636b,North Fork Nehalem River Bridge
http://example.com/id/100313757b,Cilcewydd Railway Bridge
http://example.com/id/100314620b,Casamozza Railroad Bridge
http://example.com/id/100318819b,U.P.R.R. - Snake River Bridge
http://example.com/id/100319133b,Cure Bridge
http://example.com/id/100320698b,Alfbach Viaduct
http://example.com/id/100320718b,CR 60 Tallapoosa River Bridge
http://example.com/id/100320720b,Westtangenten Bridge at Kelheim
http://example.com/id/100320723b,Frodsham Bridge 5
http://example.com/id/100320739b,Crewgreen Bridge
http://example.com/id/100320761b,Diepmannsbach Bridge at Remscheid-Lennep
http://example.com/id/100320766b,Pont du Gour Noir
http://example.com/id/100320769b,Pont du Maire Kuss
http://example.com/id/100320770b,Estirac Bridge
http://example.com/id/100320780b,Poggenmühlenbrücke
http://example.com/id/100320870b,Baltschiederbrücke
http://example.com/id/100320955b,Saint-Jean-de-Fos Canal Bridge
http://example.com/id/100321833b,Ourense Viaduct
http://example.com/id/100321852b,Pont des Six-Liards
http://example.com/id/100323432b,Sigulda Bridge
http://example.com/id/100323512b,Fontannes Tunnel
http://example.com/id/100323673b,Massoins Bridge
http://example.com/id/100323682b,Lamouroux Viaduct
http://example.com/id/100325099b,Fawcett Road Bridge
http://example.com/id/100325870b,Tapia de la Ribera Tower
http://example.com/id/100326067b,Gustave Eiffel Bridge
http://example.com/id/100326369b,Dry Gulch Bridge
http://example.com/id/100326403m,Cumberland Island National Seashore Museum
http://example.com/id/100326532b,Ferrara Railway Bridge
http://example.com/id/100326552b,Rush's Mill Bridge
http://example.com/id/100326572b,Rethen Viaduct
http://example.com/id/100326592b,Swift River Bridge
http://example.com/id/100326605b,Saint-Géry Bridge
http://example.com/id/100326654b,Huangbohe Bridge
http://example.com/id/100326670b,Elberon Avenue Bridge
http://example.com/id/100327024b,Negley Bridge
http://example.com/id/100332669b,Agua Fria Railroad Bridge
http://example.com/id/100348225m,Mgungundlovu Multimedia Centre
http://example.com/id/100355215b,Lavoitobel Bridge
http://example.com/id/100371210b,Aqueduc de Jacourelle
http://example.com/id/100410602m,Aloe Vera Ibiza Museum
http://example.com/id/1004331b,Cathedral of Funchal
http://example.com/id/100456245m,Rättvik's Nature Museum
http://example.com/id/100457281m,Lossiemouth Fisheries and Community Museum
http://example.com/id/100530088m,Openluchtmuseum Fort Nieuw-Amsterdam
http://example.com/id/100537697b,Karolinenbrücke
http://example.com/id/100586258m,Východočeský památník celnictví
http://example.com/id/1006584m,Fürdőmúzeum
http://example.com/id/100696259b,Neshanic Station Lenticular Truss Bridge
http://example.com/id/100700993b,Pont de l'Arche de Noé
http://example.com/id/100709743m,Tumurun Private Museum
http://example.com/id/100716513b,Worcester Railway Bridge
http://example.com/id/100744628m,Museum of Sunclocks
http://example.com/id/100748253m,Villa Finale
http://example.com/id/100761475m,centre d'interprétation multiethnique de Rawdon
http://example.com/id/1007726b,Galleria Umberto I
http://example.com/id/100786302m,Machine Tool Museum
http://example.com/id/100786471b,Indian Camp Covered Bridge
http://example.com/id/100877359h,Müritz Hotel
http://example.com/id/100878014b,Stevenson Road Covered Bridge
http://example.com/id/100878504m,Mummers Museum
http://example.com/id/100894861m,Silva Kaputikyan House-Museum
http://example.com/id/100955379m,Theodoros Papagiannis museum of contemporary art
http://example.com/id/1009599m,Bunkermuseum Frauenwald
http://example.com/id/100979939m,Museum of Folk Art
http://example.com/id/100979952m,Museum of Chukotka Heritage
http://example.com/id/100995577m,Casa Museo Niceto Alcalá-Zamora
http://example.com/id/101004116m,Andrew Carnegie Birthplace Museum
http://example.com/id/1010268b,Basilica of St. Sernin
http://example.com/id/1010268w,Basilica of St. Sernin
http://example.com/id/101044863m,Ryazanka Estate
http://example.com/id/101054169b,Pont de l'Orignal
http://example.com/id/1010647m,Burg (Klagenfurt)
http://example.com/id/101069831m,Heritage House - IPHAN Alagoas
http://example.com/id/101072725m,Pierre Chalita Foundation (Jaraguá)
http://example.com/id/101084958b,1270 Avenue of the Americas
http://example.com/id/1010879b,Château d'Arques
http://example.com/id/101091693b,Pont de la Calamité
http://example.com/id/101094405b,Castillo de San Marcos
http://example.com/id/101094890b,Orangery of Sceaux
http://example.com/id/1011026b,Château de Beynac
http://example.com/id/1011058b,Château de Blandy-les-Tours
http://example.com/id/101109957b,Patrick G. and Shirley W. Ryan Center for the Musical Arts
http://example.com/id/101110028b,Pont Dénommée
http://example.com/id/1011357b,Château de Castelnaud-la-Chapelle
http://example.com/id/1011361b,Château de Châlus-Chabrol
http://example.com/id/1011395b,Tour de Crest
http://example.com/id/1011471m,Museum of Dieppe
http://example.com/id/1011881h,Burg Großfurra
http://example.com/id/101241426b,Eisenbahnbrücke (Tübingen)
http://example.com/id/101244279b,177 Huntington
http://example.com/id/101265669m,Hereke Silk Weaving and Carpet Factory
http://example.com/id/1012675b,Schloss Klamm
http://example.com/id/1012867m,Kernburg
http://example.com/id/1012889b,Château de Lavardin
http://example.com/id/1012965w,Redecilla del Camino
http://example.com/id/1013013b,Burg Lohra
http://example.com/id/1013399b,Imperial Villa Nijō Castle
http://example.com/id/1013399w,Imperial Villa Nijō Castle
http://example.com/id/1013453m,Burg Pappenheim
http://example.com/id/1013517m,Burg Posterstein
http://example.com/id/1013562m,château de Raeren
http://example.com/id/1013645m,Burg Reinsberg
http://example.com/id/1013993b,Château de Sedan
http://example.com/id/1014027m,Burg Spielberg
http://example.com/id/101403951b,Turati Tower
http://example.com/id/101405593m,Rossini national museum
http://example.com/id/1014157m,Strechau Castle
http://example.com/id/1014264b,Château de Tournoël
http://example.com/id/1014536m,Burg Wels
http://example.com/id/101477076m,Varala Museum of Gymnastics
http://example.com/id/1014871m,"Castle Museum, Nideggen"
http://example.com/id/10149b,Ancient theatre of Vienne
http://example.com/id/1015042h,Burghaus Burgsahr
http://example.com/id/1015064m,Burghof
http://example.com/id/1015081b,Burgholztunnel
http://example.com/id/1015090w,Castrum Burginatium
http://example.com/id/1015115m,Kulturforum Burgkloster
http://example.com/id/1015194w,Roluos
http://example.com/id/101563299b,Nepomucenusbrug
http://example.com/id/101579932m,Ľudovít Štúr Museum
http://example.com/id/101593749m,Tour de l'Horloge
http://example.com/id/1016053b,Burgtorbrücke
http://example.com/id/1017144b,Burtscheider Viadukt
http://example.com/id/101730b,1998 FIFA World Cup
http://example.com/id/101751b,1994 FIFA World Cup
http://example.com/id/101775771m,Royal Carriages museum
http://example.com/id/101801865m,musée archéologique du Minervois
http://example.com/id/101847441b,Nirjhor Residential Area Connecting Bridge
http://example.com/id/1018661w,Bystrinsky Nature Park
http://example.com/id/1019712m,Böhmerwaldmuseum Wien
http://example.com/id/1020395m,Büchnerhaus
http://example.com/id/102045968b,Crescent City Connection (North)
http://example.com/id/102045972b,Crescent City Connection (South)
http://example.com/id/102046183b,Bengbu Bridge
