s,object_type
http://example.com/id/10000136m,http://example.com/ontology/Museum
http://example.com/id/1000054b,http://example.com/ontology/Building
http://example.com/id/1000054w,http://example.com/ontology/Heritage
http://example.com/id/1000590m,http://example.com/ontology/Museum
http://example.com/id/1000780m,http://example.com/ontology/Museum
http://example.com/id/1000781b,http://example.com/ontology/Building
http://example.com/id/100144719m,http://example.com/ontology/Museum
http://example.com/id/100151800b,http://example.com/ontology/Building
http://example.com/id/100152068m,http://example.com/ontology/Museum
http://example.com/id/1001643b,http://example.com/ontology/Building
http://example.com/id/100166601b,http://example.com/ontology/Building
http://example.com/id/1002016m,http://example.com/ontology/Museum
http://example.com/id/100213642m,http://example.com/ontology/Museum
http://example.com/id/100252269m,http://example.com/ontology/Museum
http://example.com/id/100263681m,http://example.com/ontology/Museum
http://example.com/id/100271920m,http://example.com/ontology/Museum
http://example.com/id/100272163b,http://example.com/ontology/Building
http://example.com/id/100287554b,http://example.com/ontology/Building
http://example.com/id/100287609b,http://example.com/ontology/Building
http://example.com/id/100287662b,http://example.com/ontology/Building
http://example.com/id/100287874b,http://example.com/ontology/Building
http://example.com/id/100288026b,http://example.com/ontology/Building
http://example.com/id/100288769b,http://example.com/ontology/Building
http://example.com/id/100293283b,http://example.com/ontology/Building
http://example.com/id/100293380b,http://example.com/ontology/Building
http://example.com/id/100294398b,http://example.com/ontology/Building
http://example.com/id/100296429b,http://example.com/ontology/Building
http://example.com/id/100296905b,http://example.com/ontology/Building
http://example.com/id/100297710b,http://example.com/ontology/Building
http://example.com/id/100298149b,http://example.com/ontology/Building
http://example.com/id/100298438b,http://example.com/ontology/Building
http://example.com/id/100299086b,http://example.com/ontology/Building
http://example.com/id/100299287b,http://example.com/ontology/Building
http://example.com/id/100299710b,http://example.com/ontology/Building
http://example.com/id/100299917b,http://example.com/ontology/Building
http://example.com/id/100303173b,http://example.com/ontology/Building
http://example.com/id/100309486b,http://example.com/ontology/Building
http://example.com/id/100309736b,http://example.com/ontology/Building
http://example.com/id/100309951b,http://example.com/ontology/Building
http://example.com/id/100310390b,http://example.com/ontology/Building
http://example.com/id/100311164b,http://example.com/ontology/Building
http://example.com/id/100313325b,http://example.com/ontology/Building
http://example.com/id/100313462b,http://example.com/ontology/Building
http://example.com/id/100313636b,http://example.com/ontology/Building
http://example.com/id/100313757b,http://example.com/ontology/Building
http://example.com/id/100314620b,http://example.com/ontology/Building
http://example.com/id/100318819b,http://example.com/ontology/Building
http://example.com/id/100319133b,http://example.com/ontology/Building
http://example.com/id/100320698b,http://example.com/ontology/Building
http://example.com/id/100320718b,http://example.com/ontology/Building
