s,object_type
10000136m,http://example.com/ontology/Museum
1000054b,http://example.com/ontology/Build
1000054w,http://example.com/ontology/World_Heritage
1000590m,http://example.com/ontology/Museum
1000780m,http://example.com/ontology/Museum
1000781b,http://example.com/ontology/Build
100144719m,http://example.com/ontology/Museum
100151800b,http://example.com/ontology/Build
100152068m,http://example.com/ontology/Museum
1001643b,http://example.com/ontology/Build
100166601b,http://example.com/ontology/Build
1002016m,http://example.com/ontology/Museum
100213642m,http://example.com/ontology/Museum
100252269m,http://example.com/ontology/Museum
100263681m,http://example.com/ontology/Museum
100271920m,http://example.com/ontology/Museum
100272163b,http://example.com/ontology/Build
100287554b,http://example.com/ontology/Build
100287609b,http://example.com/ontology/Build
100287662b,http://example.com/ontology/Build
100287874b,http://example.com/ontology/Build
100288026b,http://example.com/ontology/Build
100288769b,http://example.com/ontology/Build
100293283b,http://example.com/ontology/Build
100293380b,http://example.com/ontology/Build
100294398b,http://example.com/ontology/Build
100296429b,http://example.com/ontology/Build
100296905b,http://example.com/ontology/Build
100297710b,http://example.com/ontology/Build
100298149b,http://example.com/ontology/Build
100298438b,http://example.com/ontology/Build
100299086b,http://example.com/ontology/Build
100299287b,http://example.com/ontology/Build
100299710b,http://example.com/ontology/Build
100299917b,http://example.com/ontology/Build
100303173b,http://example.com/ontology/Build
100309486b,http://example.com/ontology/Build
100309736b,http://example.com/ontology/Build
100309951b,http://example.com/ontology/Build
100310390b,http://example.com/ontology/Build
100311164b,http://example.com/ontology/Build
100313325b,http://example.com/ontology/Build
100313462b,http://example.com/ontology/Build
100313636b,http://example.com/ontology/Build
100313757b,http://example.com/ontology/Build
100314620b,http://example.com/ontology/Build
100318819b,http://example.com/ontology/Build
100319133b,http://example.com/ontology/Build
100320698b,http://example.com/ontology/Build
100320718b,http://example.com/ontology/Build
100320720b,http://example.com/ontology/Build
100320723b,http://example.com/ontology/Build
100320739b,http://example.com/ontology/Build
100320761b,http://example.com/ontology/Build
100320766b,http://example.com/ontology/Build
100320769b,http://example.com/ontology/Build
100320770b,http://example.com/ontology/Build
100320780b,http://example.com/ontology/Build
100320870b,http://example.com/ontology/Build
100320955b,http://example.com/ontology/Build
100321833b,http://example.com/ontology/Build
100321852b,http://example.com/ontology/Build
100323432b,http://example.com/ontology/Build
100323512b,http://example.com/ontology/Build
100323673b,http://example.com/ontology/Build
