b_id,_id
111415610b,96
899b,79
1521b,142
2011b,142
5317b,30
5786b,38
2903b,142
3067b,142
3078b,142
4152b,183
8544b,408
376699b,142
522946b,183
523286b,183
525185b,183
27706b,183
10844b,183
10848b,183
10849b,183
2976b,142
9179b,183
10838b,183
57900b,30
133274b,159
80813b,148
81523b,43
385090b,414
385142b,20
387213b,142
389269b,142
398981b,16
99562b,142
99691b,183
101751b,30
202163b,159
206101b,35
99720b,183
247531b,183
314940b,183
316575b,183
359242b,183
368232b,219
567643b,183
568050b,45
569445b,183
569877b,213
570560b,145
571019b,183
428799b,142
429233b,38
429253b,40
429308b,38
429489b,40
429512b,38
429711b,38
571161b,183
571282b,142
571380b,183
571467b,183
571570b,183
572887b,145
7350b,804
211618b,423
215423b,159
526047b,183
533156b,38
533680b,38
538453b,183
541846b,145
543140b,145
555992b,183
557337b,29
557582b,183
559107b,148
94648b,30
94868b,30
94909b,30
94926b,30
585219b,142
585851b,142
585947b,142
589462b,38
593265b,34
82294b,30
93660b,30
93801b,30
118752b,20
119882b,38
123017b,145
125805b,30
11819b,28
12512b,38
12512b,237
9016b,183
9688b,183
224563b,30
233737b,45
206194b,790
207985b,142
115970b,38
116002b,30
118214b,833
99200b,145
99250b,17
99464b,31
134124b,878
135672b,183
137501b,423
138101b,142
429916b,38
431458b,45
435416b,183
436171b,32
436171b,183
436661b,183
437854b,219
441865b,34
443051b,35
448856b,145
451592b,183
9694b,55
10803b,183
10829b,183
10833b,183
573362b,232
578460b,38
579088b,30
579381b,145
581532b,29
17019b,183
17609b,408
17073b,183
17083b,183
17081b,183
177549b,858
201773b,148
263040b,183
266559b,183
266866b,183
273480b,142
278314b,145
406723b,142
408847b,40
421084b,41
427273b,28
244114b,30
248623b,183
249319b,148
250212b,183
219502b,38
220081b,145
221279b,819
220805b,148
223499b,34
371071b,38
374881b,183
376606b,148
376932b,142
380270b,212
381537b,30
464416b,183
471166b,39
472465b,183
478135b,29
482591b,17
94189b,30
94235b,30
94600b,30
94625b,38
559212b,183
560209b,30
560855b,183
562206b,183
564750b,183
564788b,183
567308b,159
17704b,148
19492b,878
208811b,41
210957b,145
127425b,39
129403b,148
