country_id,country_name,country_comment
17,Japan,island country in East Asia
16,Canada,country in North America
29,Spain,country in southwestern Europe with territories in Africa
20,Norway,country in northern Europe
28,Hungary,country in Central Europe
35,Denmark,country in Northern Europe
30,United States of America,country in North America
32,Luxembourg,country in Western Europe
41,Greece,country in Southeast Europe
33,Finland,country in Northern Europe
43,Turkey,transcontinental country straddling Western Asia and Southeastern Europe
31,Belgium,country in western Europe
34,Sweden,country in Northern Europe
36,Poland,country in Central Europe
114,Kenya,country in Eastern Africa
115,Ethiopia,country in the Horn of Africa
37,Lithuania,country in Eastern Europe
38,Italy,country in Southern Europe
39,Switzerland,country in Central Europe
189,Iceland,country in the North Atlantic Ocean
117,Ghana,sovereign state in West Africa
45,Portugal,country in Southwestern Europe
40,Austria,country in Central Europe
213,Czech Republic,country in Central Europe
191,Estonia,sovereign state in northeastern Europe
215,Slovenia,country in Central Europe
55,Netherlands,country in Northwestern Europe with territories in the Caribbean
218,Romania,country in Central and Eastern Europe
77,Uruguay,sovereign state in South America
219,Bulgaria,country in Southeast Europe
221,North Macedonia,country in southeastern Europe
79,Egypt,sovereign state in North Africa and Asia
96,Mexico,country in North America
142,France,country in Western Europe
232,Kazakhstan,sovereign state in Eastern Europe and Central Asia
145,United Kingdom,country in north-west Europe
238,San Marino,"sovereign state in southern Europe, enclaved within Italy"
242,Belize,sovereign state in Central America
148,People's Republic of China,country in East Asia
155,Brazil,country in South America
244,Barbados,island country in the Caribbean
258,South Africa,country in Southern Africa
334,Singapore,city-state in maritime Southeast Asia
183,Germany,country in Central Europe
159,Russia,sovereign state in Eastern Europe and Northern Asia
423,North Korea,sovereign state in East Asia
184,Belarus,country in Eastern Europe
424,Cambodia,sovereign state in Southeast Asia
657,Chad,sovereign state in central Africa
672,Tuvalu,island sovereign state in Oceania
211,Latvia,sovereign state in northeastern Europe
678,Tonga,"sovereign state in Oceania, situated on an archipelago"
212,Ukraine,country in Eastern Europe
214,Slovakia,country in Central Europe
685,Solomon Islands,island sovereign state in Oceania
683,Samoa,sovereign state made up of six islands in the Pacific Ocean
691,Papua New Guinea,country in Oceania
217,Moldova,country in Eastern Europe
697,Nauru,country in Oceania
222,Albania,country in southeastern Europe
709,Marshall Islands,island sovereign state in Oceania
712,Fiji,island sovereign state in Oceania
224,Croatia,country in Central and Southeastern Europe
730,Suriname,country in South America
225,Bosnia and Herzegovina,country in Southeast Europe
733,Paraguay,sovereign state in South America
227,Azerbaijan,country in the Caucasus in Eastern Europe
734,Guyana,country in South America
736,Ecuador,sovereign state in South America
739,Colombia,sovereign state in South America
228,Andorra,"sovereign microstate between France and Spain, in Western Europe"
754,Trinidad and Tobago,island sovereign state in the Caribbean
229,Cyprus,sovereign state situated on an island in the Eastern Mediterranean Sea
757,Saint Vincent and the Grenadines,island sovereign state in the Caribbean Sea
233,Malta,sovereign state in Southern Europe situated on an archipelago in the Mediterranean Sea
763,Saint Kitts and Nevis,island sovereign state in the Caribbean Sea
235,Monaco,sovereign city-state on the French Riviera
774,Guatemala,sovereign state in Central America
766,Jamaica,country in the Caribbean Sea
236,Montenegro,country in southeastern Europe
781,Antigua and Barbuda,island sovereign state in the Caribbean Sea
241,Cuba,sovereign state situated on an island in the Caribbean Sea
792,El Salvador,sovereign state in Central America
252,Indonesia,country in Southeast Asia and Oceania
796,Iraq,sovereign state in western Asia
