co_id,name,comment
17m,Japan,island country in East Asia
16m,Canada,country in North America
29m,Spain,country in southwestern Europe with territories in Africa
20m,Norway,country in northern Europe
28m,Hungary,country in Central Europe
35m,Denmark,country in Northern Europe
30m,United States of America,country in North America
32m,Luxembourg,country in Western Europe
41m,Greece,country in Southeast Europe
33m,Finland,country in Northern Europe
43m,Turkey,transcontinental country straddling Western Asia and Southeastern Europe
31m,Belgium,country in western Europe
34m,Sweden,country in Northern Europe
36m,Poland,country in Central Europe
114m,Kenya,country in Eastern Africa
115m,Ethiopia,country in the Horn of Africa
37m,Lithuania,country in Eastern Europe
38m,Italy,country in Southern Europe
39m,Switzerland,country in Central Europe
189m,Iceland,country in the North Atlantic Ocean
117m,Ghana,sovereign state in West Africa
45m,Portugal,country in Southwestern Europe
40m,Austria,country in Central Europe
213m,Czech Republic,country in Central Europe
191m,Estonia,sovereign state in northeastern Europe
215m,Slovenia,country in Central Europe
55m,Netherlands,country in Northwestern Europe with territories in the Caribbean
218m,Romania,country in Central and Eastern Europe
77m,Uruguay,sovereign state in South America
219m,Bulgaria,country in Southeast Europe
221m,North Macedonia,country in southeastern Europe
79m,Egypt,sovereign state in North Africa and Asia
96m,Mexico,country in North America
142m,France,country in Western Europe
232m,Kazakhstan,sovereign state in Eastern Europe and Central Asia
145m,United Kingdom,country in north-west Europe
238m,San Marino,"sovereign state in southern Europe, enclaved within Italy"
242m,Belize,sovereign state in Central America
148m,People's Republic of China,country in East Asia
155m,Brazil,country in South America
244m,Barbados,island country in the Caribbean
258m,South Africa,country in Southern Africa
334m,Singapore,city-state in maritime Southeast Asia
183m,Germany,country in Central Europe
159m,Russia,sovereign state in Eastern Europe and Northern Asia
423m,North Korea,sovereign state in East Asia
184m,Belarus,country in Eastern Europe
424m,Cambodia,sovereign state in Southeast Asia
657m,Chad,sovereign state in central Africa
672m,Tuvalu,island sovereign state in Oceania
211m,Latvia,sovereign state in northeastern Europe
678m,Tonga,"sovereign state in Oceania, situated on an archipelago"
212m,Ukraine,country in Eastern Europe
214m,Slovakia,country in Central Europe
685m,Solomon Islands,island sovereign state in Oceania
683m,Samoa,sovereign state made up of six islands in the Pacific Ocean
691m,Papua New Guinea,country in Oceania
217m,Moldova,country in Eastern Europe
697m,Nauru,country in Oceania
222m,Albania,country in southeastern Europe
709m,Marshall Islands,island sovereign state in Oceania
712m,Fiji,island sovereign state in Oceania
224m,Croatia,country in Central and Southeastern Europe
730m,Suriname,country in South America
225m,Bosnia and Herzegovina,country in Southeast Europe
733m,Paraguay,sovereign state in South America
227m,Azerbaijan,country in the Caucasus in Eastern Europe
734m,Guyana,country in South America
736m,Ecuador,sovereign state in South America
739m,Colombia,sovereign state in South America
228m,Andorra,"sovereign microstate between France and Spain, in Western Europe"
754m,Trinidad and Tobago,island sovereign state in the Caribbean
229m,Cyprus,sovereign state situated on an island in the Eastern Mediterranean Sea
757m,Saint Vincent and the Grenadines,island sovereign state in the Caribbean Sea
233m,Malta,sovereign state in Southern Europe situated on an archipelago in the Mediterranean Sea
763m,Saint Kitts and Nevis,island sovereign state in the Caribbean Sea
235m,Monaco,sovereign city-state on the French Riviera
774m,Guatemala,sovereign state in Central America
766m,Jamaica,country in the Caribbean Sea
236m,Montenegro,country in southeastern Europe
781m,Antigua and Barbuda,island sovereign state in the Caribbean Sea
241m,Cuba,sovereign state situated on an island in the Caribbean Sea
792m,El Salvador,sovereign state in Central America
252m,Indonesia,country in Southeast Asia and Oceania
796m,Iraq,sovereign state in western Asia
810m,Jordan,country in Western Asia
811m,Nicaragua,sovereign state in Central America
262m,Algeria,country in North Africa
265m,Uzbekistan,sovereign state in Central Asia
813m,Kyrgyzstan,sovereign state in Central Asia
817m,Kuwait,sovereign state in Western Asia
298m,Chile,country in South America
826m,Maldives,"sovereign state in South Asia, situated on an archipelago in the Arabian Sea"
347m,Liechtenstein,country in Central Europe
833m,Malaysia,country in Southeast Asia
836m,Myanmar,sovereign state in Southeast Asia
398m,Bahrain,country in the Persian Gulf
837m,Nepal,country in South Asia
399m,Armenia,sovereign state in the South Caucasus region of Eurasia
843m,Pakistan,sovereign state in South Asia
403m,Serbia,country in southeastern Europe
851m,Saudi Arabia,country in Western Asia
874m,Turkmenistan,country in Central Asia
854m,Sri Lanka,country in South Asia
408m,Australia,country in Oceania
881m,Vietnam,country in Southeast Asia
917m,Bhutan,sovereign state in South Asia
574m,East Timor,sovereign state situated on several islands in Southeast Asia
419m,Peru,sovereign state in South America
921m,Brunei,sovereign state in Southeast Asia
414m,Argentina,sovereign state in South America
924m,Tanzania,country in East Africa
664m,New Zealand,island country in the southwest Pacific Ocean
928m,Philippines,sovereign state in Southeast Asia
948m,Tunisia,country in North Africa
668m,India,country in South Asia
686m,Vanuatu,country In Oceania
953m,Zambia,sovereign state in Southern Africa
954m,Zimbabwe,sovereign state in southern Africa
