p_id,c_id
65096742w,408w
65130425w,774w
66057913w,794w
107183452w,115w
64763166w,159w
98769058w,1005w
98769058w,1041w
107482578w,1008w
65621655w,717w
5699w,796w
5725w,843w
1070w,668w
4519w,794w
4523w,794w
351w,30w
4522w,252w
4520w,252w
20963673w,43w
22026170w,399w
25379596w,962w
25379596w,965w
25379596w,1032w
25933006w,796w
52284968w,948w
64787456w,711w
64787456w,159w
8399w,142w
5908w,183w
9427w,912w
5859w,96w
31347w,148w
35045w,750w
23800w,233w
38095w,736w
29317w,836w
44112w,1016w
3936w,183w
4132w,148w
3642w,986w
27960w,739w
28361w,242w
9276w,1027w
106934w,142w
33934w,750w
9278w,79w
22720w,183w
156292w,183w
162835w,794w
166479w,145w
19094w,183w
131377w,1030w
46069w,232w
5595w,37w
5595w,159w
170047w,796w
5747w,858w
7341w,36w
155727w,843w
155699w,39w
156675w,183w
5724w,854w
5788w,810w
43278w,954w
43278w,953w
9900w,55w
192201w,40w
210610w,794w
22889w,145w
43286w,148w
61750w,750w
143042w,403w
153430w,20w
4527w,668w
190060w,881w
191504w,1016w
26732w,668w
72895w,16w
122026w,183w
171857w,668w
61306w,96w
237w,237w
9141w,668w
181427w,96w
189113w,16w
174779w,45w
179046w,668w
129072w,794w
129072w,389688w
129072w,13405524w
223589w,974w
230025w,794w
193325w,874w
193241w,219w
62378w,145w
272777w,38w
277683w,159w
127754w,183w
138170w,408w
156316w,183w
133575w,29w
188617w,145w
188754w,17w
192522w,43w
189616w,668w
172613w,96w
134905w,408w
157543w,183w
192493w,258w
180274w,142w
237128w,30w
239748w,33w
463141w,29w
471765w,148w
200521w,763w
207692w,148w
189849w,224w
391229w,31w
391391w,16w
203197w,854w
205952w,30w
207917w,43w
207985w,142w
192764w,668w
244347w,1041w
202845w,664w
208181w,145w
71279w,36w
25496w,842w
48608w,804w
244952w,38w
263701w,40w
272799w,114w
277525w,423w
289466w,16w
214827w,783w
214007w,963w
466614w,796w
467763w,183w
490798w,884w
217449w,38w
265453w,31w
242681w,30w
273456w,115w
192518w,805w
190048w,262w
581641w,43w
604604w,16w
604604w,30w
201428w,142w
794643w,1032w
851122w,28w
865097w,869w
870258w,819w
904128w,403w
240832w,16w
260465w,408w
277540w,419w
213988w,34w
235878w,668w
328577w,1008w
374096w,142w
331099w,1029w
370956w,38w
391496w,408w
584125w,869w
642979w,115w
650872w,963w
253241w,38w
272153w,854w
205367w,142w
208559w,34w
318181w,227w
330095w,258w
379652w,41w
422941w,854w
309426w,1036w
308805w,148w
276553w,219w
279968w,183w
301815w,219w
372093w,30w
379759w,145w
239028w,31w
242176w,17w
215315w,37w
235884w,668w
209705w,35w
210678w,20w
504315w,115w
546010w,43w
464695w,115w
478707w,55w
503835w,929w
216059w,148w
217447w,33w
464913w,1011w
500189w,916w
733676w,1041w
755514w,233w
435829w,33w
464004w,30w
278908w,183w
309436w,1028w
464918w,142w
500367w,262w
559363w,1041w
535577w,265w
608100w,948w
629210w,244w
662102w,262w
819729w,36w
830805w,801w
852085w,16w
852427w,183w
134873w,148w
750245w,38w
756790w,924w
310719w,258w
319296w,219w
677879w,31w
726842w,38w
732708w,41w
687973w,39w
738657w,142w
680322w,842w
753162w,38w
477157w,884w
477462w,159w
941412w,419w
1025100w,869w
1046414w,96w
210055w,225w
778743w,117w
828417w,33w
863815w,710w
934627w,408w
569766w,265w
575035w,148w
532440w,668w
558514w,794w
572895w,298w
16743243w,96w
17013603w,837w
19605615w,258w
3457361w,148w
3457508w,142w
3511938w,236w
3848455w,96w
4411008w,159w
5472448w,668w
7899619w,794w
495276w,884w
500376w,215w
501833w,79w
636774w,38w
652634w,36w
715124w,29w
753895w,96w
787425w,30w
834893w,833w
837627w,145w
853364w,148w
910661w,224w
923894w,29w
319821w,30w
1790760w,148w
2211959w,837w
2268839w,924w
722732w,213w
723999w,35w
1334966w,145w
1439433w,16w
1642003w,34w
639487w,760w
646076w,145w
650531w,219w
970717w,837w
1075023w,837w
744420w,29w
817164w,148w
909755w,241w
503823w,912w
503387w,219w
2164885w,213w
2215414w,222w
2215414w,221w
2239058w,35w
2425839w,962w
391338w,16w
433634w,20w
752091w,668w
752181w,783w
757067w,39w
924276w,1006w
924276w,1008w
16064866w,142w
16064866w,145w
16064866w,183w
16064866w,213w
828291w,414w
828071w,223w
832957w,38w
1982106w,403w
2284354w,29w
2945656w,45w
3106527w,948w
3320082w,804w
8343770w,45w
11402500w,17w
12201148w,96w
15240737w,843w
15726441w,142w
15728421w,142w
15839120w,29w
15924897w,145w
16064866w,31w
16064866w,38w
16064866w,40w
559789w,96w
574879w,38w
595802w,31w
608090w,28w
608090w,214w
3678596w,858w
3848141w,96w
4115349w,858w
4986623w,145w
3113345w,884w
3370031w,29w
3370031w,215w
3380656w,668w
2114279w,16w
2914326w,948w
2945646w,38w
3320442w,419w
3370009w,833w
852546w,96w
899302w,29w
1026845w,34w
1100964w,79w
422929w,863w
457362w,262w
732554w,419w
743108w,145w
945514w,38w
1214318w,38w
1541665w,408w
1595417w,155w
1647948w,114w
1780249w,183w
3411434w,29w
3411434w,142w
3485435w,38w
3485435w,39w
3848197w,45w
6063031w,774w
8343758w,241w
9709444w,29w
10588848w,29w
12220316w,805w
38278862w,41w
55379486w,794w
55524104w,17w
64798261w,159w
64822967w,183w
65725484w,1008w
65821410w,79w
65924939w,1028w
109706388w,183w
114559132w,183w
621498w,1033w
645157w,29w
651278w,148w
8032604w,36w
8032604w,212w
8343760w,155w
8343764w,155w
9055979w,1000w
8343766w,736w
9724840w,38w
10300241w,183w
10332177w,843w
10344038w,145w
10729198w,851w
11812902w,924w
16363476w,41w
16945635w,41w
17634781w,214w
32148800w,41w
32797097w,38w
32797097w,224w
32797097w,236w
29070w,252w
1129992w,1027w
1130112w,258w
16912661w,43w
16963755w,41w
17117964w,142w
17132555w,414w
19387263w,20w
27969085w,142w
64617320w,219w
64617589w,219w
1123956w,1033w
1141003w,117w
1256501w,794w
936285w,28w
1033019w,40w
1353292w,189w
1569783w,145w
26258435w,668w
29901643w,227w
31271606w,227w
60846866w,43w
64433741w,229w
3522747w,668w
3845692w,155w
3962347w,878w
4147903w,145w
4147903w,183w
4361429w,711w
4923872w,79w
6091925w,739w
6106226w,800w
6106226w,804w
6130080w,115w
6153869w,115w
6535830w,214w
1453235w,711w
1621046w,40w
1756286w,34w
2104675w,96w
25998008w,794w
28246887w,34w
29905581w,77w
33800328w,258w
38153585w,408w
38162559w,408w
55495511w,29w
56695607w,155w
60346199w,145w
64494878w,215w
3364446w,236w
3575761w,38w
3678597w,36w
4120596w,1028w
4993586w,35w
5572706w,155w
55607898w,29w
65465081w,96w
66124383w,17w
66133295w,711w
66134819w,843w
66134823w,843w
66134821w,843w
66145762w,851w
66197761w,884w
66311160w,884w
67794917w,96w
76742746w,29w
87252930w,29w
97378981w,668w
97379507w,668w
97630179w,29w
97630176w,29w
97631409w,29w
97631426w,29w
97631477w,29w
99669069w,29w
103813700w,17w
106576599w,29w
106590080w,29w
106594304w,29w
106599146w,29w
106600473w,29w
106600687w,29w
106602893w,29w
106603524w,29w
106608817w,29w
4387456w,1005w
65516504w,30w
65519027w,30w
65519172w,30w
65531544w,736w
65531558w,736w
65531573w,736w
65531600w,419w
65531632w,419w
65531672w,419w
65531679w,419w
65531687w,419w
65531689w,419w
65531700w,419w
65559538w,155w
65562357w,739w
65617155w,419w
65643515w,262w
65643541w,262w
65643551w,262w
65643569w,262w
65643585w,262w
65920623w,114w
65944709w,948w
65944804w,948w
65953826w,889w
65954037w,398w
65954042w,398w
65965346w,148w
65965345w,148w
65965434w,148w
65967122w,148w
65967121w,148w
66000318w,668w
66000331w,668w
66000328w,668w
66000334w,668w
2448665w,45w
2944797w,142w
2945649w,45w
3125051w,41w
106636w,794w
9757828w,29w
10620357w,35w
11444847w,17w
14863645w,183w
15477047w,801w
15726428w,668w
15726321w,142w
15727363w,733w
5117106w,29w
17645099w,145w
43178321w,29w
43178334w,29w
48733884w,17w
56276755w,878w
56702862w,29w
56702867w,29w
56762077w,29w
56762101w,29w
56791718w,29w
56791721w,29w
57305557w,29w
57913794w,31w
60375863w,55w
63226648w,29w
64399661w,142w
64468649w,236w
64485229w,215w
64504329w,224w
64523081w,214w
64555782w,212w
64577163w,218w
64577160w,218w
64577164w,218w
64590519w,183w
64606200w,40w
64643977w,213w
64682794w,31w
64682820w,31w
64682821w,31w
275w,145w
641w,38w
1279597w,142w
1443478w,801w
2249113w,142w
2328849w,55w
18448486w,38w
18448486w,237w
19611498w,43w
20474885w,43w
20650612w,142w
1139084w,36w
1217726w,924w
7343w,408w
1165586w,858w
1656860w,858w
65643570w,262w
65643576w,262w
65660766w,962w
65727045w,1008w
65937534w,258w
65937535w,258w
65937533w,258w
65944711w,948w
65944714w,948w
65944722w,948w
65953934w,889w
65953992w,398w
65954000w,398w
65954004w,398w
65954010w,398w
65954039w,398w
65954043w,398w
65964838w,148w
65965316w,148w
65965548w,148w
65966781w,148w
65966996w,29w
65967123w,148w
65967126w,148w
65967125w,148w
65967161w,148w
65970893w,29w
65980114w,232w
65981316w,148w
65998810w,668w
66000297w,668w
66004174w,668w
66011632w,29w
66023675w,794w
66023691w,794w
66023234w,252w
66023240w,252w
66041090w,29w
66051680w,148w
65460718w,96w
65498175w,96w
65498283w,96w
65499203w,96w
65517962w,30w
65519274w,30w
65531431w,298w
65531453w,298w
65531474w,298w
65531478w,298w
65531541w,736w
65531561w,736w
65531617w,419w
65531650w,419w
65531664w,419w
65531677w,419w
65554680w,155w
65562356w,739w
65643542w,262w
65643596w,262w
65685310w,965w
65815537w,79w
65921507w,912w
65920621w,114w
65926576w,1028w
65936192w,1041w
65953995w,398w
65954031w,398w
65954035w,398w
65954038w,398w
65954044w,398w
65965421w,148w
65965432w,148w
106729782w,29w
13220079w,948w
15052130w,1016w
15613336w,238w
15728409w,142w
15819677w,241w
15924695w,96w
16147548w,230w
16912637w,142w
17640714w,145w
17640722w,145w
17645115w,145w
17645151w,145w
17645195w,145w
17647108w,145w
17647114w,145w
17663129w,145w
17675549w,145w
43147903w,29w
66054694w,183w
66054780w,183w
66054786w,183w
66057939w,794w
66057987w,796w
66057991w,796w
66057602w,252w
66058299w,29w
66058306w,29w
66062083w,29w
66087931w,17w
66089098w,17w
66089147w,17w
66089896w,17w
66133756w,423w
66198224w,884w
66204350w,858w
66207282w,878w
66207386w,878w
66207417w,878w
66213874w,805w
2727469w,846w
2962473w,142w
3529269w,262w
3529269w,1747689w
156067w,28513w
156067w,212w
157550w,183w
156067w,131964w
43148397w,29w
43148439w,29w
43148480w,29w
43148561w,29w
43149060w,29w
43149083w,29w
43149094w,29w
43150099w,29w
43152065w,29w
64705367w,43w
64958288w,29w
65099260w,884w
65114170w,800w
65121255w,241w
15229957w,45w
15240748w,36w
15613314w,96w
15727490w,43w
15831671w,29w
16482294w,17w
17125919w,148w
17132416w,224w
17255582w,265w
17296768w,38w
17993813w,148w
64686737w,45w
64686787w,45w
64686796w,45w
64699469w,43w
64699534w,43w
64705294w,43w
64705502w,43w
64705501w,43w
64787667w,159w
64810426w,145w
64811611w,145w
64811608w,145w
64811615w,145w
64811616w,145w
64811622w,145w
64811621w,145w
64811626w,145w
64811630w,145w
64811629w,145w
64811633w,145w
64811652w,145w
64811658w,145w
64811657w,145w
64811675w,145w
64811696w,145w
64811710w,145w
64811760w,145w
64811786w,145w
64811788w,145w
64811820w,145w
64811860w,145w
64811868w,145w
64811912w,145w
64811917w,145w
64811927w,183w
64819278w,145w
64821766w,183w
64821765w,183w
64821773w,183w
64822931w,142w
64828711w,142w
64829137w,142w
64848245w,29w
106655955w,29w
106656138w,29w
106656172w,29w
106656355w,29w
106656510w,29w
106661851w,29w
184429w,218w
184534w,43w
4111w,148w
4187w,148w
106662676w,29w
106676129w,29w
9705991w,29w
29561578w,29w
29583924w,215w
29908614w,928w
30250486w,29w
30911567w,96w
30925787w,17w
31025023w,229w
31841104w,229w
32979674w,224w
35972985w,38w
42449859w,29w
43083696w,29w
43090285w,29w
43115744w,29w
43147211w,29w
43147624w,29w
43148385w,29w
106676150w,29w
1142337w,403w
55264655w,117w
55264655w,200464w
1975533w,29w
2021552w,145w
2072102w,1028w
45690w,854w
56004w,183w
36034w,148w
38888w,41w
131013w,41w
5780w,1049w
184427w,668w
5513w,159w
375634w,854w
394443w,854w
4243w,794w
12501w,148w
15727412w,858w
15830652w,854w
15830656w,30w
15904183w,148w
16886821w,38w
16963852w,869w
17155656w,399w
20644172w,183w
20963672w,38w
15830652w,200464w
13362w,38w
5762117w,31w
6057341w,29w
10749904w,29w
12125635w,790w
12192954w,1028w
13567081w,854w
15224718w,148w
15255454w,34w
15728398w,954w
15839097w,668w
27964w,298w
27985w,792w
65498982w,96w
65517383w,30w
65531350w,414w
65531415w,750w
65531428w,298w
65531417w,750w
65531445w,298w
65531467w,298w
65531469w,298w
65531476w,298w
65531483w,298w
65531542w,736w
65531553w,736w
65531556w,736w
65531597w,419w
65531615w,419w
65531626w,419w
65531628w,419w
65531641w,419w
65531653w,419w
65531683w,419w
65531694w,419w
65562359w,739w
65562360w,739w
65562361w,739w
106608818w,29w
106612098w,29w
106614027w,29w
106616335w,29w
106622585w,29w
106634785w,29w
106634854w,29w
106635163w,29w
106642630w,29w
106655699w,29w
66089882w,17w
66089902w,17w
66089908w,17w
66089914w,17w
66089912w,17w
66092099w,17w
66111205w,17w
66111211w,17w
66124378w,17w
66124382w,17w
66124384w,17w
66132612w,819w
66133761w,423w
66134825w,843w
66145748w,851w
66145765w,851w
66198228w,884w
66199409w,884w
66204356w,858w
66207331w,878w
66207355w,878w
85884704w,17w
97011004w,38w
97361053w,668w
97361413w,668w
97630175w,29w
97631480w,29w
97631481w,29w
106594302w,29w
106608815w,29w
106610202w,29w
106614022w,29w
106620815w,29w
106634540w,29w
106610360w,29w
106613024w,29w
106613049w,29w
106614015w,29w
106614407w,29w
106620814w,29w
106627451w,29w
106627493w,29w
106627724w,29w
106650997w,29w
106661840w,29w
106676546w,29w
106687065w,29w
106690927w,29w
106772392w,29w
106772597w,29w
43176636w,29w
43176687w,29w
43176909w,29w
43178312w,29w
62069250w,183w
64758537w,159w
64760209w,159w
64760240w,159w
64760268w,159w
64761163w,159w
64761221w,159w
64769499w,159w
64787152w,159w
64787246w,159w
64798093w,159w
64811930w,183w
64811940w,183w
64811948w,183w
64811967w,183w
64811975w,183w
64812029w,183w
64812035w,183w
64822259w,183w
106653769w,29w
106661860w,29w
106675114w,29w
106676161w,29w
106676194w,29w
106679719w,29w
106681523w,29w
106681526w,29w
106681524w,29w
106681525w,29w
106685496w,29w
106686026w,29w
106686024w,29w
106686025w,29w
