bc_id,name,comment
17b,Japan,island country in East Asia
16b,Canada,country in North America
29b,Spain,country in southwestern Europe with territories in Africa
20b,Norway,country in northern Europe
28b,Hungary,country in Central Europe
35b,Denmark,country in Northern Europe
30b,United States of America,country in North America
32b,Luxembourg,country in Western Europe
41b,Greece,country in Southeast Europe
33b,Finland,country in Northern Europe
43b,Turkey,transcontinental country straddling Western Asia and Southeastern Europe
31b,Belgium,country in western Europe
34b,Sweden,country in Northern Europe
36b,Poland,country in Central Europe
114b,Kenya,country in Eastern Africa
115b,Ethiopia,country in the Horn of Africa
37b,Lithuania,country in Eastern Europe
38b,Italy,country in Southern Europe
39b,Switzerland,country in Central Europe
189b,Iceland,country in the North Atlantic Ocean
117b,Ghana,sovereign state in West Africa
45b,Portugal,country in Southwestern Europe
40b,Austria,country in Central Europe
213b,Czech Republic,country in Central Europe
191b,Estonia,sovereign state in northeastern Europe
215b,Slovenia,country in Central Europe
55b,Netherlands,country in Northwestern Europe with territories in the Caribbean
218b,Romania,country in Central and Eastern Europe
77b,Uruguay,sovereign state in South America
219b,Bulgaria,country in Southeast Europe
221b,North Macedonia,country in southeastern Europe
79b,Egypt,sovereign state in North Africa and Asia
96b,Mexico,country in North America
142b,France,country in Western Europe
232b,Kazakhstan,sovereign state in Eastern Europe and Central Asia
145b,United Kingdom,country in north-west Europe
238b,San Marino,"sovereign state in southern Europe, enclaved within Italy"
242b,Belize,sovereign state in Central America
148b,People's Republic of China,country in East Asia
155b,Brazil,country in South America
244b,Barbados,island country in the Caribbean
258b,South Africa,country in Southern Africa
334b,Singapore,city-state in maritime Southeast Asia
183b,Germany,country in Central Europe
159b,Russia,sovereign state in Eastern Europe and Northern Asia
423b,North Korea,sovereign state in East Asia
184b,Belarus,country in Eastern Europe
424b,Cambodia,sovereign state in Southeast Asia
657b,Chad,sovereign state in central Africa
672b,Tuvalu,island sovereign state in Oceania
211b,Latvia,sovereign state in northeastern Europe
678b,Tonga,"sovereign state in Oceania, situated on an archipelago"
212b,Ukraine,country in Eastern Europe
214b,Slovakia,country in Central Europe
685b,Solomon Islands,island sovereign state in Oceania
683b,Samoa,sovereign state made up of six islands in the Pacific Ocean
691b,Papua New Guinea,country in Oceania
217b,Moldova,country in Eastern Europe
697b,Nauru,country in Oceania
222b,Albania,country in southeastern Europe
709b,Marshall Islands,island sovereign state in Oceania
712b,Fiji,island sovereign state in Oceania
224b,Croatia,country in Central and Southeastern Europe
730b,Suriname,country in South America
225b,Bosnia and Herzegovina,country in Southeast Europe
733b,Paraguay,sovereign state in South America
227b,Azerbaijan,country in the Caucasus in Eastern Europe
734b,Guyana,country in South America
736b,Ecuador,sovereign state in South America
739b,Colombia,sovereign state in South America
228b,Andorra,"sovereign microstate between France and Spain, in Western Europe"
754b,Trinidad and Tobago,island sovereign state in the Caribbean
229b,Cyprus,sovereign state situated on an island in the Eastern Mediterranean Sea
757b,Saint Vincent and the Grenadines,island sovereign state in the Caribbean Sea
233b,Malta,sovereign state in Southern Europe situated on an archipelago in the Mediterranean Sea
763b,Saint Kitts and Nevis,island sovereign state in the Caribbean Sea
235b,Monaco,sovereign city-state on the French Riviera
774b,Guatemala,sovereign state in Central America
766b,Jamaica,country in the Caribbean Sea
236b,Montenegro,country in southeastern Europe
781b,Antigua and Barbuda,island sovereign state in the Caribbean Sea
241b,Cuba,sovereign state situated on an island in the Caribbean Sea
792b,El Salvador,sovereign state in Central America
252b,Indonesia,country in Southeast Asia and Oceania
796b,Iraq,sovereign state in western Asia
810b,Jordan,country in Western Asia
811b,Nicaragua,sovereign state in Central America
262b,Algeria,country in North Africa
265b,Uzbekistan,sovereign state in Central Asia
813b,Kyrgyzstan,sovereign state in Central Asia
817b,Kuwait,sovereign state in Western Asia
298b,Chile,country in South America
826b,Maldives,"sovereign state in South Asia, situated on an archipelago in the Arabian Sea"
347b,Liechtenstein,country in Central Europe
833b,Malaysia,country in Southeast Asia
836b,Myanmar,sovereign state in Southeast Asia
398b,Bahrain,country in the Persian Gulf
837b,Nepal,country in South Asia
399b,Armenia,sovereign state in the South Caucasus region of Eurasia
843b,Pakistan,sovereign state in South Asia
