b_id,bc_id
111415610b,96b
899b,79b
1521b,142b
2011b,142b
5317b,30b
5786b,38b
2903b,142b
3067b,142b
3078b,142b
4152b,183b
8544b,408b
376699b,142b
522946b,183b
523286b,183b
525185b,183b
27706b,183b
10844b,183b
10848b,183b
10849b,183b
2976b,142b
9179b,183b
10838b,183b
57900b,30b
133274b,159b
80813b,148b
81523b,43b
385090b,414b
385142b,20b
387213b,142b
389269b,142b
398981b,16b
99562b,142b
99691b,183b
101751b,30b
202163b,159b
206101b,35b
99720b,183b
247531b,183b
314940b,183b
316575b,183b
359242b,183b
368232b,219b
567643b,183b
568050b,45b
569445b,183b
569877b,213b
570560b,145b
571019b,183b
428799b,142b
429233b,38b
429253b,40b
429308b,38b
429489b,40b
429512b,38b
429711b,38b
571161b,183b
571282b,142b
571380b,183b
571467b,183b
571570b,183b
572887b,145b
7350b,804b
211618b,423b
215423b,159b
526047b,183b
533156b,38b
533680b,38b
538453b,183b
541846b,145b
543140b,145b
555992b,183b
557337b,29b
557582b,183b
559107b,148b
94648b,30b
94868b,30b
94909b,30b
94926b,30b
585219b,142b
585851b,142b
585947b,142b
589462b,38b
593265b,34b
82294b,30b
93660b,30b
93801b,30b
118752b,20b
119882b,38b
123017b,145b
125805b,30b
11819b,28b
12512b,38b
12512b,237b
9016b,183b
9688b,183b
224563b,30b
233737b,45b
206194b,790b
207985b,142b
115970b,38b
116002b,30b
118214b,833b
99200b,145b
99250b,17b
99464b,31b
134124b,878b
135672b,183b
137501b,423b
138101b,142b
429916b,38b
431458b,45b
435416b,183b
436171b,32b
436171b,183b
436661b,183b
437854b,219b
441865b,34b
443051b,35b
448856b,145b
451592b,183b
9694b,55b
10803b,183b
10829b,183b
10833b,183b
573362b,232b
578460b,38b
579088b,30b
579381b,145b
581532b,29b
17019b,183b
17609b,408b
17073b,183b
17083b,183b
17081b,183b
177549b,858b
201773b,148b
263040b,183b
266559b,183b
266866b,183b
273480b,142b
278314b,145b
406723b,142b
408847b,40b
421084b,41b
427273b,28b
244114b,30b
248623b,183b
249319b,148b
250212b,183b
219502b,38b
220081b,145b
221279b,819b
220805b,148b
223499b,34b
371071b,38b
374881b,183b
376606b,148b
376932b,142b
380270b,212b
381537b,30b
464416b,183b
471166b,39b
472465b,183b
478135b,29b
482591b,17b
94189b,30b
94235b,30b
94600b,30b
94625b,38b
559212b,183b
560209b,30b
560855b,183b
562206b,183b
564750b,183b
564788b,183b
567308b,159b
17704b,148b
19492b,878b
208811b,41b
210957b,145b
127425b,39b
129403b,148b
133566b,38b
525486b,148b
538314b,183b
540273b,38b
751425b,142b
543350b,183b
545120b,183b
547013b,142b
549259b,218b
549498b,159b
550953b,159b
512913b,258b
519614b,145b
520543b,40b
520613b,183b
157298b,183b
456302b,664b
455794b,183b
458115b,39b
462372b,148b
463400b,38b
17038b,183b
17058b,183b
17057b,183b
17065b,183b
50757b,142b
51175b,38b
54492b,408b
606803b,155b
609140b,881b
608787b,43b
610924b,298b
171288b,408b
172190b,145b
279084b,30b
280463b,30b
284195b,145b
285196b,38b
289972b,39b
155252b,25230b
155210b,183b
156198b,183b
1810430b,142b
2132820b,31b
2204296b,212b
2859220b,142b
2942234b,27b
3046103b,33b
3396422b,142b
490741b,884b
490364b,142b
494758b,884b
503109b,29b
503506b,145b
157825b,183b
160236b,30b
319281b,183b
328352b,183b
328464b,183b
328623b,183b
29265b,145b
29286b,38b
28604b,184b
28868b,30b
28964b,29b
611964b,79b
612736b,30b
614321b,183b
615404b,43b
138755b,145b
138752b,145b
143861b,183b
151146b,183b
151947b,30b
151975b,30b
152061b,30b
153085b,183b
627250b,148b
630135b,334b
631104b,142b
2228562b,45b
2307722b,142b
2482571b,30b
4982576b,30b
4982674b,148b
7459531b,27b
11170632b,4628b
14851316b,55b
98929943b,45b
168579b,30b
168611b,183b
168781b,142b
170119b,183b
504382b,43b
504710b,142b
505065b,142b
505304b,142b
511316b,16b
46313b,28b
47151b,159b
317207b,717b
317323b,954b
317323b,953b
317091b,183b
317398b,183b
596642b,145b
597596b,36b
597759b,183b
605723b,145b
631135b,148b
631448b,145b
636642b,155b
639057b,142b
641209b,214b
648483b,34b
649396b,159b
649426b,29b
652705b,1049b
652505b,30b
639716b,36b
642557b,145b
646874b,30b
650678b,38b
651554b,145b
74710b,17b
170442b,30b
177216b,148b
177865b,30b
214861b,30b
45368b,43b
55601b,865b
55399b,183b
55519b,252b
655018b,155b
656587b,730b
657271b,155b
659029b,39b
660310b,39b
337855b,142b
338483b,142b
341621b,214b
371553b,16b
372615b,142b
192981b,889b
40684b,878b
39858b,16b
42258b,155b
788639b,142b
880838b,145b
945937b,142b
958826b,38b
1078478b,142b
1102184b,142b
1119956b,17b
48159b,145b
48859b,96b
49135b,30b
4205980b,145b
4463578b,212b
7619556b,30b
11812055b,424b
12066699b,145b
14681514b,30b
15637674b,30b
22960555b,142b
678791b,145b
679491b,183b
681294b,142b
682049b,39b
682188b,183b
682288b,30b
683406b,39b
459096b,30b
11277b,30b
17085b,183b
101069198b,739b
153672b,30b
154563b,183b
19675b,142b
163255b,183b
163962b,148b
333912b,31b
334060b,142b
334329b,31b
336088b,155b
758059b,41b
788946b,142b
803148b,142b
945935b,96b
1014446b,31b
1057844b,142b
1090492b,142b
1152238b,96b
1194822b,17b
23212b,55b
27342b,40b
28416b,96b
623452b,262b
622930b,38b
788619b,32b
959073b,79b
959073b,389688b
959073b,662410b
172402b,408b
173559b,258b
328874b,183b
330298b,55b
330935b,34b
332219b,33b
666479b,39b
666911b,183b
667046b,183b
667121b,183b
166503b,30b
168001b,45b
168400b,148b
683632b,912b
683799b,39b
684594b,142b
685100b,145b
658361b,183b
661111b,38b
661561b,39b
663819b,183b
664018b,34b
9037b,183b
10855b,183b
17044b,183b
17051b,183b
786387b,30b
788682b,142b
788989b,142b
822071b,183b
882811b,183b
944544b,30b
292131b,1028b
296392b,183b
302126b,16b
306155b,142b
315240b,183b
315745b,183b
315841b,40b
315841b,183b
316233b,183b
316346b,159b
316542b,183b
251301b,739b
250541b,32b
250951b,183b
252682b,55b
255644b,40b
255951b,183b
259313b,40b
178107b,38b
179664b,142b
184921b,183b
185910b,38b
93686b,30b
233754b,148b
668606b,39b
673076b,30b
673721b,183b
675009b,39b
675069b,39b
1785740b,45b
2261550b,38b
3050235b,29b
3239063b,142b
3240073b,142b
4014765b,40b
4014765b,214b
4018733b,183b
4073266b,159b
4091854b,145b
17096b,183b
17430b,142b
31374b,695b
45938b,664b
482589b,884b
636700b,183b
638899b,36b
639707b,36b
732449b,142b
734371b,38b
734463b,183b
737484b,30b
739474b,218b
739976b,142b
957317b,142b
1324587b,219b
1415006b,778b
173876b,717b
175271b,159b
176603b,16b
176751b,183b
178065b,142b
1277562b,145b
1285521b,183b
1287367b,183b
1289610b,403b
1292228b,36b
1311217b,183b
1312585b,142b
1322447b,45b
94209b,30b
211295b,38b
2965b,142b
10800b,183b
393375b,213b
458405b,183b
571324b,183b
571331b,183b
681342b,39b
733056b,38b
780369b,39b
801455b,408b
827638b,30b
193215b,142b
193375b,145b
311661b,183b
432090b,142b
646236b,142b
777803b,39b
777803b,183b
635361b,30b
657005b,183b
1597847b,16b
1676687b,30b
1769742b,20b
2056949b,218b
2209315b,142b
2310209b,142b
2417198b,183b
2447851b,29b
201219b,79b
489378b,884b
555142b,183b
188190b,142b
191739b,38b
386547b,142b
455042b,183b
497536b,902b
567024b,183b
571536b,30b
50746b,142b
50753b,142b
50756b,142b
56973b,29b
57357b,145b
62592b,36b
956849b,145b
961346b,30b
966429b,236b
967929b,414b
969482b,213b
302591b,40b
386246b,17b
663755b,40b
788936b,142b
789131b,38b
849786b,403b
849786b,218b
939904b,30b
675964b,40b
676576b,30b
677527b,39b
678431b,39b
273870b,16b
282921b,30b
374956b,30b
460889b,29b
94313b,30b
211265b,145b
50748b,142b
643520b,142b
785121b,31b
1065223b,878b
993659b,142b
996038b,183b
1005878b,148b
1010268b,142b
1011058b,142b
1027362b,30b
1028041b,145b
1028202b,38b
717254b,423b
723336b,145b
729631b,159b
732312b,142b
694708b,183b
694747b,40b
696762b,183b
1032141b,31b
1107799b,145b
1126955b,142b
2214240b,40b
2736879b,668b
3362596b,17b
3397518b,16b
5046667b,30b
5452736b,30b
6670465b,145b
7450047b,30b
7489099b,148b
7853242b,30b
21401860b,145b
2487796b,30b
3499774b,30b
7948706b,30b
10602002b,183b
12375164b,191b
17536347b,145b
4653107b,664b
4654505b,30b
4654550b,30b
4678452b,30b
4680334b,30b
4708669b,30b
99364b,16b
130193b,16b
153116b,30b
191987b,29b
14300b,408b
946058b,399b
945154b,27b
946418b,218b
946610b,142b
955238b,4628b
685476b,183b
686544b,40b
686729b,39b
689008b,40b
693731b,145b
4548102b,258b
4549610b,408b
4550139b,30b
4550186b,30b
4551090b,30b
4553007b,30b
4554120b,30b
4594548b,30b
4631257b,30b
4635219b,30b
4635299b,30b
4641683b,30b
4642077b,30b
4642538b,30b
4645285b,30b
4652698b,408b
197100b,858b
198436b,183b
199359b,30b
200906b,142b
971065b,159b
973992b,40b
980401b,183b
981143b,218b
984166b,30b
985210b,145b
913182b,38b
965018b,38b
977781b,34b
1263759b,40b
1333774b,183b
1360037b,30b
1556730b,213b
1325540b,16b
1326540b,16b
1328849b,159b
1332367b,183b
1339429b,142b
1341217b,183b
1342690b,30b
626941b,159b
788750b,142b
788809b,142b
789112b,38b
699098b,28b
705139b,183b
707379b,15180b
707379b,232b
716999b,423b
1066736b,16b
1186268b,34b
1187054b,142b
1187479b,159b
625866b,884b
1545738b,183b
1545738b,213b
2315733b,142b
2465864b,145b
2820429b,142b
3397145b,142b
3397494b,142b
3584953b,142b
5188982b,30b
5368390b,30b
5910761b,29b
7288488b,668b
12365937b,191b
100320780b,183b
745460b,142b
764016b,145b
770940b,213b
771548b,142b
1783824b,1028b
1980205b,183b
2064095b,36b
2135657b,36b
1188691b,16b
1188691b,30b
1192186b,30b
1226920b,38b
1229917b,142b
1230381b,40b
1238820b,142b
1251089b,33b
1363208b,219b
1366438b,145b
1370675b,183b
1386621b,183b
1388065b,38b
1393304b,145b
1029921b,668b
1032147b,31b
