cn_id,name,comment
17h,Japan,island country in East Asia
16h,Canada,country in North America
29h,Spain,country in southwestern Europe with territories in Africa
20h,Norway,country in northern Europe
28h,Hungary,country in Central Europe
35h,Denmark,country in Northern Europe
30h,United States of America,country in North America
32h,Luxembourg,country in Western Europe
41h,Greece,country in Southeast Europe
33h,Finland,country in Northern Europe
43h,Turkey,transcontinental country straddling Western Asia and Southeastern Europe
31h,Belgium,country in western Europe
34h,Sweden,country in Northern Europe
36h,Poland,country in Central Europe
114h,Kenya,country in Eastern Africa
115h,Ethiopia,country in the Horn of Africa
37h,Lithuania,country in Eastern Europe
38h,Italy,country in Southern Europe
39h,Switzerland,country in Central Europe
189h,Iceland,country in the North Atlantic Ocean
117h,Ghana,sovereign state in West Africa
45h,Portugal,country in Southwestern Europe
40h,Austria,country in Central Europe
213h,Czech Republic,country in Central Europe
191h,Estonia,sovereign state in northeastern Europe
215h,Slovenia,country in Central Europe
55h,Netherlands,country in Northwestern Europe with territories in the Caribbean
218h,Romania,country in Central and Eastern Europe
77h,Uruguay,sovereign state in South America
219h,Bulgaria,country in Southeast Europe
221h,North Macedonia,country in southeastern Europe
79h,Egypt,sovereign state in North Africa and Asia
96h,Mexico,country in North America
142h,France,country in Western Europe
232h,Kazakhstan,sovereign state in Eastern Europe and Central Asia
145h,United Kingdom,country in north-west Europe
238h,San Marino,"sovereign state in southern Europe, enclaved within Italy"
242h,Belize,sovereign state in Central America
148h,People's Republic of China,country in East Asia
155h,Brazil,country in South America
244h,Barbados,island country in the Caribbean
258h,South Africa,country in Southern Africa
334h,Singapore,city-state in maritime Southeast Asia
183h,Germany,country in Central Europe
159h,Russia,sovereign state in Eastern Europe and Northern Asia
423h,North Korea,sovereign state in East Asia
184h,Belarus,country in Eastern Europe
424h,Cambodia,sovereign state in Southeast Asia
657h,Chad,sovereign state in central Africa
672h,Tuvalu,island sovereign state in Oceania
211h,Latvia,sovereign state in northeastern Europe
678h,Tonga,"sovereign state in Oceania, situated on an archipelago"
212h,Ukraine,country in Eastern Europe
214h,Slovakia,country in Central Europe
685h,Solomon Islands,island sovereign state in Oceania
683h,Samoa,sovereign state made up of six islands in the Pacific Ocean
691h,Papua New Guinea,country in Oceania
217h,Moldova,country in Eastern Europe
697h,Nauru,country in Oceania
222h,Albania,country in southeastern Europe
709h,Marshall Islands,island sovereign state in Oceania
712h,Fiji,island sovereign state in Oceania
224h,Croatia,country in Central and Southeastern Europe
730h,Suriname,country in South America
225h,Bosnia and Herzegovina,country in Southeast Europe
733h,Paraguay,sovereign state in South America
227h,Azerbaijan,country in the Caucasus in Eastern Europe
734h,Guyana,country in South America
736h,Ecuador,sovereign state in South America
739h,Colombia,sovereign state in South America
228h,Andorra,"sovereign microstate between France and Spain, in Western Europe"
754h,Trinidad and Tobago,island sovereign state in the Caribbean
229h,Cyprus,sovereign state situated on an island in the Eastern Mediterranean Sea
757h,Saint Vincent and the Grenadines,island sovereign state in the Caribbean Sea
233h,Malta,sovereign state in Southern Europe situated on an archipelago in the Mediterranean Sea
763h,Saint Kitts and Nevis,island sovereign state in the Caribbean Sea
235h,Monaco,sovereign city-state on the French Riviera
774h,Guatemala,sovereign state in Central America
766h,Jamaica,country in the Caribbean Sea
236h,Montenegro,country in southeastern Europe
781h,Antigua and Barbuda,island sovereign state in the Caribbean Sea
241h,Cuba,sovereign state situated on an island in the Caribbean Sea
792h,El Salvador,sovereign state in Central America
252h,Indonesia,country in Southeast Asia and Oceania
796h,Iraq,sovereign state in western Asia
810h,Jordan,country in Western Asia
811h,Nicaragua,sovereign state in Central America
262h,Algeria,country in North Africa
265h,Uzbekistan,sovereign state in Central Asia
813h,Kyrgyzstan,sovereign state in Central Asia
817h,Kuwait,sovereign state in Western Asia
298h,Chile,country in South America
826h,Maldives,"sovereign state in South Asia, situated on an archipelago in the Arabian Sea"
347h,Liechtenstein,country in Central Europe
833h,Malaysia,country in Southeast Asia
836h,Myanmar,sovereign state in Southeast Asia
398h,Bahrain,country in the Persian Gulf
837h,Nepal,country in South Asia
399h,Armenia,sovereign state in the South Caucasus region of Eurasia
843h,Pakistan,sovereign state in South Asia
403h,Serbia,country in southeastern Europe
851h,Saudi Arabia,country in Western Asia
874h,Turkmenistan,country in Central Asia
854h,Sri Lanka,country in South Asia
408h,Australia,country in Oceania
881h,Vietnam,country in Southeast Asia
917h,Bhutan,sovereign state in South Asia
574h,East Timor,sovereign state situated on several islands in Southeast Asia
419h,Peru,sovereign state in South America
921h,Brunei,sovereign state in Southeast Asia
414h,Argentina,sovereign state in South America
924h,Tanzania,country in East Africa
664h,New Zealand,island country in the southwest Pacific Ocean
928h,Philippines,sovereign state in Southeast Asia
948h,Tunisia,country in North Africa
668h,India,country in South Asia
686h,Vanuatu,country In Oceania
953h,Zambia,sovereign state in Southern Africa
954h,Zimbabwe,sovereign state in southern Africa
710h,Kiribati,island sovereign state in the central Pacific Ocean
958h,South Sudan,country in East Africa
963h,Botswana,sovereign state in Southern Africa
711h,Mongolia,country in East Asia
717h,Venezuela,sovereign state in northern South America
965h,Burkina Faso,sovereign state in Africa
750h,Bolivia,sovereign state in South America
967h,Burundi,sovereign state in Africa
983h,Equatorial Guinea,sovereign state in Africa
1006h,Guinea,sovereign state in West Africa
760h,Saint Lucia,island sovereign state in the Caribbean Sea
1008h,Ivory Coast,sovereign state in West Africa
769h,Grenada,island sovereign state in the Caribbean Sea
1009h,Cameroon,sovereign state in West Africa
778h,The Bahamas,island sovereign state in the West Indies
1011h,Cape Verde,sovereign state comprising ten islands off the Western coast of Africa
1013h,Lesotho,sovereign state in southern Africa
783h,Honduras,sovereign state in Central America
1020h,Malawi,sovereign state in Africa
1025h,Mauritania,sovereign state in West Africa and North Africa
784h,Dominica,island sovereign state in the Caribbean Sea
786h,Dominican Republic,island sovereign state in the Caribbean Sea
790h,Haiti,island sovereign state in the Caribbean Sea
1027h,Mauritius,island sovereign state off of Africa in the Indian Ocean
1029h,Mozambique,country in Southeastern Africa
800h,Costa Rica,country in Central America
1036h,Uganda,country in East-central Africa
1030h,Namibia,country in Southern Africa
794h,Iran,country in Western Asia
1037h,Rwanda,sovereign state in Africa
801h,Israel,country in Western Asia
1039h,São Tomé and Príncipe,island sovereign state in Africa
1041h,Senegal,country on the coast of West Africa
804h,Panama,sovereign state in Central America
1045h,Somalia,sovereign state in Africa
805h,Yemen,sovereign state in western Asia
1050h,Eswatini,sovereign state in southern Africa
3359409h,Micronesia,subregion of Oceania
842h,Oman,sovereign state in western Asia
819h,Laos,country in Southeast Asia
846h,Qatar,country in Western Asia
858h,Syria,sovereign state in western Asia
863h,Tajikistan,sovereign state in Central Asia
869h,Thailand,country in Southeast Asia
878h,United Arab Emirates,sovereign state in Southwest Asia
884h,South Korea,country in East Asia
889h,Afghanistan,country in Central and South Asia
902h,Bangladesh,country in South Asia
912h,Mali,country in West Africa
916h,Angola,sovereign state in Africa
929h,Central African Republic,country in Central Africa
945h,Togo,country in West Africa
962h,Benin,sovereign state in West Africa
970h,Comoros,sovereign state situated on an archipelago in the Indian Ocean off the eastern coast of Africa
977h,Djibouti,sovereign state in Africa
986h,Eritrea,country in the Horn of Africa
1000h,Gabon,equatorial country in West Africa
1005h,The Gambia,sovereign state in West Africa
1007h,Guinea-Bissau,sovereign state in Western Africa
1014h,Liberia,sovereign state in West Africa
1016h,Libya,sovereign state in north Africa
1032h,Niger,sovereign state in western Africa
1019h,Madagascar,"island sovereign state off the coast of Southeast Africa, in the Indian Ocean"
1033h,Nigeria,sovereign state in West Africa
1042h,Seychelles,island sovereign state off the eastern coast of Africa
1044h,Sierra Leone,sovereign state in West Africa
1049h,Sudan,country in Northeast Africa
22890h,Ireland,island in the North Atlantic Ocean
