museum_id,co_id
162946m,40m
162965m,38m
525226m,183m
526903m,948m
525939m,43m
525981m,30m
526381m,237m
529069m,183m
531028m,183m
170495m,43m
174552m,41m
174911m,16m
176251m,29m
510343m,183m
510993m,155m
511024m,31m
512474m,16m
516472m,43m
516770m,183m
520455m,183m
522604m,31m
280171m,30m
281725m,40m
281903m,55m
284716m,16m
284916m,29m
286549m,183m
287806m,31m
163299m,948m
163291m,183m
163867m,40m
164502m,183m
165366m,55m
167314m,183m
168737m,16m
6373m,145m
289034m,214m
293851m,40m
301787m,20m
301815m,219m
301861m,36m
304037m,40m
573656m,183m
573662m,183m
573676m,183m
573881m,38m
449280m,183m
452362m,183m
452375m,39m
452685m,183m
454019m,36m
190260m,39m
190445m,159m
190456m,232m
431431m,55m
435492m,33m
435702m,40m
436381m,183m
439345m,218m
443626m,35m
445066m,159m
445864m,45m
447441m,183m
451m,31m
2946m,142m
559807m,159m
560033m,183m
561350m,159m
565125m,142m
565296m,183m
568938m,225m
473832m,183m
473848m,183m
474122m,38m
474171m,55m
468496m,183m
469084m,183m
469234m,183m
470385m,40m
473434m,35m
473831m,183m
194626m,39m
195019m,43m
196954m,40m
196982m,43m
197482m,142m
198590m,183m
198593m,183m
176356m,30m
177125m,40m
177174m,189m
178813m,1747689m
27342m,40m
28924m,142m
29587m,15180m
29587m,159m
29587m,34266m
8323m,142m
8397m,142m
9485m,142m
9495m,16m
17454m,16m
19164m,159m
19877m,38m
304972m,403m
304797m,232m
306604m,40m
306611m,40m
306615m,40m
306628m,40m
306671m,40m
306678m,40m
314082m,183m
314441m,183m
314446m,183m
7341m,36m
43282m,219m
45002m,801m
45368m,43m
318594m,30m
315894m,183m
316137m,183m
316298m,183m
316943m,183m
317388m,183m
317940m,40m
317959m,183m
318577m,35m
321783m,183m
323169m,183m
323280m,183m
323860m,37m
324263m,183m
324658m,183m
328036m,183m
539095m,38m
540718m,145m
542084m,183m
206101m,35m
206518m,30m
206929m,39m
208559m,34m
532996m,833m
534403m,36m
535586m,79m
536582m,40m
537195m,30m
538095m,212m
538183m,183m
538275m,30m
538394m,38m
198603m,183m
199335m,142m
201001m,40m
201428m,142m
201902m,38m
569019m,148m
569445m,183m
570472m,183m
570620m,183m
571773m,183m
572230m,55m
572269m,55m
587617m,221m
589336m,142m
593909m,1028m
593463m,40m
595422m,16m
595802m,31m
573932m,29m
574088m,183m
574723m,183m
575249m,43m
576071m,159m
576074m,183m
576077m,183m
474563m,55m
474665m,30m
474841m,183m
474939m,43m
474970m,38m
477607m,183m
477728m,38m
478245m,155m
405637m,159m
390003m,39m
390508m,183m
394429m,183m
394832m,213m
396139m,183m
396260m,34m
398648m,40m
186039m,40m
186043m,183m
188112m,213m
189358m,35m
542932m,183m
545998m,20m
547789m,142m
549143m,142m
550576m,41m
46012m,31m
46242m,40m
455706m,258m
455354m,183m
456800m,801m
457196m,183m
457908m,38m
458586m,183m
458904m,28m
490485m,35m
490622m,33m
490825m,30m
491197m,40m
491297m,35m
493160m,55m
495247m,1027m
494695m,40m
314818m,183m
315050m,183m
315089m,183m
315187m,183m
315644m,183m
315889m,40m
190497m,43m
191189m,39m
191193m,183m
191399m,183m
191397m,183m
191427m,183m
191739m,38m
337224m,155m
338367m,38m
339765m,28m
340128m,40m
341718m,148m
347676m,218m
4890m,183m
5556m,38m
5901m,31m
22600m,183m
22616m,183m
22625m,183m
22838m,183m
23212m,55m
23270m,40m
23868m,184m
179134m,183m
179199m,29m
603892m,55m
604953m,28m
605463m,148m
607126m,38m
609167m,1028m
608318m,213m
608779m,36m
609704m,148m
611062m,142m
612662m,29m
74136m,145m
74516m,39m
75566m,142m
81650m,43m
82108m,145m
83332m,148m
90801m,43m
1414278m,183m
1416493m,843m
1415871m,30m
1415972m,20m
1417534m,183m
1418116m,33m
321088m,183m
321229m,183m
321337m,183m
318614m,183m
318809m,183m
319046m,183m
320780m,183m
320907m,40m
202552m,16m
203116m,40m
203797m,40m
203864m,31m
204129m,40m
204332m,40m
205072m,183m
478839m,30m
481219m,183m
483503m,884m
484054m,884m
484899m,55m
485692m,55m
486382m,38m
429192m,29m
213322m,145m
29646m,227m
31034m,148m
31808m,35m
32776m,29m
40710m,31m
41728m,148m
41759m,20m
41977m,17m
421084m,41m
422975m,183m
422985m,183m
422988m,183m
427665m,142m
427979m,242m
428559m,29m
212065m,1397m
211262m,45m
225477m,114m
226103m,35m
227602m,213m
227776m,183m
228479m,183m
233098m,183m
459493m,183m
463748m,183m
464416m,183m
465746m,145m
465765m,30m
466256m,183m
467580m,30m
468169m,183m
238990m,30m
239935m,29m
240807m,31m
182708m,38m
183334m,159m
46495m,20m
50900m,159m
50901m,159m
50906m,159m
51175m,38m
578771m,142m
583055m,17m
583726m,96m
584164m,39m
586045m,38m
578060m,192184m
152966m,183m
153193m,55m
154996m,183m
156316m,183m
1431976m,183m
1432360m,30m
328452m,20m
331488m,219m
333906m,38m
333923m,38m
334274m,40m
334575m,183m
336153m,183m
1428044m,668m
1429003m,948m
1428566m,183m
1430185m,801m
1431259m,664m
1430299m,183m
1431092m,183m
1431438m,29m
72786m,38m
63465m,17m
499234m,38m
499306m,31m
