c_id,name,comment
17w,Japan,island country in East Asia
16w,Canada,country in North America
29w,Spain,country in southwestern Europe with territories in Africa
20w,Norway,country in northern Europe
28w,Hungary,country in Central Europe
35w,Denmark,country in Northern Europe
30w,United States of America,country in North America
32w,Luxembourg,country in Western Europe
41w,Greece,country in Southeast Europe
33w,Finland,country in Northern Europe
43w,Turkey,transcontinental country straddling Western Asia and Southeastern Europe
31w,Belgium,country in western Europe
34w,Sweden,country in Northern Europe
36w,Poland,country in Central Europe
114w,Kenya,country in Eastern Africa
115w,Ethiopia,country in the Horn of Africa
37w,Lithuania,country in Eastern Europe
38w,Italy,country in Southern Europe
39w,Switzerland,country in Central Europe
189w,Iceland,country in the North Atlantic Ocean
117w,Ghana,sovereign state in West Africa
45w,Portugal,country in Southwestern Europe
40w,Austria,country in Central Europe
213w,Czech Republic,country in Central Europe
191w,Estonia,sovereign state in northeastern Europe
215w,Slovenia,country in Central Europe
55w,Netherlands,country in Northwestern Europe with territories in the Caribbean
218w,Romania,country in Central and Eastern Europe
77w,Uruguay,sovereign state in South America
219w,Bulgaria,country in Southeast Europe
221w,North Macedonia,country in southeastern Europe
79w,Egypt,sovereign state in North Africa and Asia
96w,Mexico,country in North America
142w,France,country in Western Europe
232w,Kazakhstan,sovereign state in Eastern Europe and Central Asia
145w,United Kingdom,country in north-west Europe
238w,San Marino,"sovereign state in southern Europe, enclaved within Italy"
242w,Belize,sovereign state in Central America
148w,People's Republic of China,country in East Asia
155w,Brazil,country in South America
244w,Barbados,island country in the Caribbean
258w,South Africa,country in Southern Africa
334w,Singapore,city-state in maritime Southeast Asia
183w,Germany,country in Central Europe
159w,Russia,sovereign state in Eastern Europe and Northern Asia
423w,North Korea,sovereign state in East Asia
184w,Belarus,country in Eastern Europe
424w,Cambodia,sovereign state in Southeast Asia
657w,Chad,sovereign state in central Africa
672w,Tuvalu,island sovereign state in Oceania
211w,Latvia,sovereign state in northeastern Europe
678w,Tonga,"sovereign state in Oceania, situated on an archipelago"
212w,Ukraine,country in Eastern Europe
214w,Slovakia,country in Central Europe
685w,Solomon Islands,island sovereign state in Oceania
683w,Samoa,sovereign state made up of six islands in the Pacific Ocean
691w,Papua New Guinea,country in Oceania
217w,Moldova,country in Eastern Europe
697w,Nauru,country in Oceania
222w,Albania,country in southeastern Europe
709w,Marshall Islands,island sovereign state in Oceania
712w,Fiji,island sovereign state in Oceania
224w,Croatia,country in Central and Southeastern Europe
730w,Suriname,country in South America
225w,Bosnia and Herzegovina,country in Southeast Europe
733w,Paraguay,sovereign state in South America
227w,Azerbaijan,country in the Caucasus in Eastern Europe
734w,Guyana,country in South America
736w,Ecuador,sovereign state in South America
739w,Colombia,sovereign state in South America
228w,Andorra,"sovereign microstate between France and Spain, in Western Europe"
754w,Trinidad and Tobago,island sovereign state in the Caribbean
229w,Cyprus,sovereign state situated on an island in the Eastern Mediterranean Sea
757w,Saint Vincent and the Grenadines,island sovereign state in the Caribbean Sea
