s,name,cname
http://example.com/heritage/id/242176w,Yakushima,Japan
http://example.com/heritage/id/188754w,Himeji Castle,Japan
http://example.com/heritage/id/16482294w,"Fujisan, sacred place and source of artistic inspiration",Japan
http://example.com/heritage/id/11444847w,"Amami-Ōshima Island, Tokunoshima Island, northern part of Okinawa Island, and Iriomote Island",Japan
http://example.com/heritage/id/30925787w,Magodayūyama Kofun,Japan
http://example.com/heritage/id/55524104w,Mozu-Furuichi Kofun Group: Mounded Tombs of Ancient Japan,Japan
http://example.com/heritage/id/120730w,Kyoto Prefecture,Japan
http://example.com/heritage/id/11402500w,Jōmon Prehistoric Sites in Northern Japan,Japan
http://example.com/heritage/id/58889640w,Onga River Pumping Station,Japan
http://example.com/heritage/id/48815268w,Tagoyano Shell Mound,Japan
http://example.com/heritage/id/28682892w,Meijima,Japan
http://example.com/heritage/id/174139w,Iwami Ginzan Silver Mine,Japan
http://example.com/heritage/id/66124353w,Gen'emon'yama Kofun,Japan
http://example.com/heritage/id/66087933w,Ainokura Village,Japan
http://example.com/heritage/id/66089898w,Okama-ike Pond,Japan
http://example.com/heritage/id/66108561w,Kasuga Village and Sacred Places in Hirado (Kasuga Village and Mt. Yasumandake),Japan
http://example.com/heritage/id/66111213w,Nakatsu-gū,Japan
http://example.com/heritage/id/66124371w,Hachizuka Kofun,Japan
http://example.com/heritage/id/66124358w,Komoyamazuka Kofun,Japan
http://example.com/heritage/id/66124356w,Tatsusayama Kofun,Japan
http://example.com/heritage/id/66087934w,Suganuma Village,Japan
http://example.com/heritage/id/66089900w,Sokonashi-ike Pond,Japan
http://example.com/heritage/id/66092178w,Mitsubishi Giant Cantilever Crane,Japan
http://example.com/heritage/id/66092177w,Mitsubishi Senshokaku Guest House,Japan
http://example.com/heritage/id/66124374w,Nakayamazuka Kofun,Japan
http://example.com/heritage/id/66124366w,Shichikannon Kofun,Japan
http://example.com/heritage/id/66124363w,Zenizuka Kofun,Japan
http://example.com/heritage/id/66089910w,Shōbu-ike Pond,Japan
http://example.com/heritage/id/66089904w,Waku-ike Pond,Japan
http://example.com/heritage/id/66092179w,Miike Coal Mine and Miike Port,Japan
http://example.com/heritage/id/66124375w,Yashimazuka Kofun,Japan
http://example.com/heritage/id/335618w,Kumano Hayatama Taisha,Japan
http://example.com/heritage/id/430626w,Ōura Church,Japan
http://example.com/heritage/id/611345w,Sacred Sites and Pilgrimage Routes in the Kii Mountain Range,Japan
http://example.com/heritage/id/1333330w,Gusuku Sites and Related Properties of the Kingdom of Ryukyu,Japan
http://example.com/heritage/id/61094w,Byōdō-in,Japan
http://example.com/heritage/id/874027w,Historic Monuments of Ancient Kyoto,Japan
http://example.com/heritage/id/38411w,Shiraito Falls,Japan
http://example.com/heritage/id/66124384w,Jōganjiyama Kofun,Japan
http://example.com/heritage/id/66089902w,Chōshi-ike Pond,Japan
http://example.com/heritage/id/66111205w,Mikadobashira,Japan
http://example.com/heritage/id/66089882w,house of the Osano Family,Japan
http://example.com/heritage/id/66089912w,Funatsu Lava Tree Molds,Japan
http://example.com/heritage/id/66089908w,Kagami-ike Pond,Japan
http://example.com/heritage/id/66089914w,Yoshida Lava Tree Molds,Japan
http://example.com/heritage/id/66092099w,Arafune Cold Storage,Japan
http://example.com/heritage/id/66111211w,Okitsu-gū,Japan
http://example.com/heritage/id/66124382w,Higashiyama Kofun,Japan
http://example.com/heritage/id/66124378w,"Ojin-tenno-ryo Kofun, Konda-maruyama Kofun and Futatsuzuka Kofun",Japan
http://example.com/heritage/id/1063133w,Shrines and Temples of Nikkō,Japan
http://example.com/heritage/id/257473w,Ginkaku-ji,Japan
http://example.com/heritage/id/587371w,Ryōan-ji,Japan
http://example.com/heritage/id/911970w,Sannai-Maruyama Site,Japan
http://example.com/heritage/id/460367w,Todaiji temple,Japan
http://example.com/heritage/id/1351209w,Hokki-ji,Japan
http://example.com/heritage/id/1414691w,Mukojima,Japan
http://example.com/heritage/id/917195w,Enryaku-ji,Japan
http://example.com/heritage/id/1157535w,Daigo-ji,Japan
http://example.com/heritage/id/577372w,Lake Kawaguchi,Japan
http://example.com/heritage/id/653180w,Fujisan Hongū Sengen Taisha,Japan
http://example.com/heritage/id/701620w,Shimogamo Shrine,Japan
http://example.com/heritage/id/583589w,Ujigami Shrine,Japan
http://example.com/heritage/id/700448w,Kamigamo Shrine,Japan
http://example.com/heritage/id/1064830w,Hagi Castle,Japan
http://example.com/heritage/id/221716w,Kiyomizu-dera,Japan
http://example.com/heritage/id/1046403w,Tō-ji,Japan
http://example.com/heritage/id/1013399w,Imperial Villa Nijō Castle,Japan
http://example.com/heritage/id/1203429w,Kongōbu-ji,Japan
http://example.com/heritage/id/1186324w,Tamaudun,Japan
http://example.com/heritage/id/1186324w,Tamaudun,Japan
http://example.com/heritage/id/1203756w,Lake Yamanaka,Japan
http://example.com/heritage/id/1362629w,National Museum of Western Art,Japan
http://example.com/heritage/id/1202871w,Ninna-ji,Japan
http://example.com/heritage/id/1476235w,Seiganto-ji,Japan
http://example.com/heritage/id/986750w,Kōzan-ji,Japan
http://example.com/heritage/id/11678145w,Kuroshima,Japan
http://example.com/heritage/id/11368031w,Maruhoyama Kofun,Japan
http://example.com/heritage/id/11447764w,Yomejima,Japan
http://example.com/heritage/id/11378977w,Isedōtai Site,Japan
http://example.com/heritage/id/705035w,Kumano Hongū Taisha,Japan
http://example.com/heritage/id/705154w,Niutsuhime Shrine,Japan
http://example.com/heritage/id/2585020w,Fudarakusan-ji,Japan
http://example.com/heritage/id/1759226w,Tenryū-ji,Japan
http://example.com/heritage/id/1187278w,Nishinoshima,Japan
http://example.com/heritage/id/1203099w,Gangō-ji,Japan
http://example.com/heritage/id/7769551w,The Tomioka Silk Mill and Related Industrial Heritage,Japan
http://example.com/heritage/id/975227w,Mōtsū-ji,Japan
http://example.com/heritage/id/980697w,South Iwo Jima,Japan
http://example.com/heritage/id/973175w,Tōshōdai-ji,Japan
http://example.com/heritage/id/3077344w,Ōminesan-ji,Japan
http://example.com/heritage/id/3572667w,Yoshimizu Shrine,Japan
http://example.com/heritage/id/1516753w,Saihō-ji,Japan
http://example.com/heritage/id/3342246w,Niukanshōfu Shrine,Japan
http://example.com/heritage/id/5849431w,Daisen Kofun,Japan
http://example.com/heritage/id/2498312w,Hara Castle,Japan
http://example.com/heritage/id/63465w,Glover Garden,Japan
http://example.com/heritage/id/191763w,Itsukushima Shrine,Japan
http://example.com/heritage/id/17226685w,Kakinoshima Site,Japan
http://example.com/heritage/id/2338956w,Zakimi Castle,Japan
http://example.com/heritage/id/2326743w,Shōkasonjuku Academy,Japan
http://example.com/heritage/id/11476069w,Minegazuka Kofun,Japan
http://example.com/heritage/id/11659317w,Shūseikan,Japan
http://example.com/heritage/id/11441985w,Ōtorizuka Kofun,Japan
http://example.com/heritage/id/11447744w,Nakōdo Island,Japan
http://example.com/heritage/id/10856210w,Nozaki Island,Japan
http://example.com/heritage/id/11275423w,Hazamiyama Kofun,Japan
http://example.com/heritage/id/11479972w,Ichinoyama Kofun,Japan
http://example.com/heritage/id/11562956w,Yunotsu Onsen,Japan
http://example.com/heritage/id/7818931w,Tomioka Silk Mill,Japan
http://example.com/heritage/id/20637540w,Hagi Reverberatory Furnace,Japan
http://example.com/heritage/id/20207875w,Mukōjima,Japan
http://example.com/heritage/id/17212161w,Rakan-ji,Japan
http://example.com/heritage/id/49663210w,Nishijima,Japan
http://example.com/heritage/id/49641137w,Hirajima,Japan
http://example.com/heritage/id/1013209w,Nakagusuku Castle,Japan
http://example.com/heritage/id/734915w,Kosuge Slip Dock,Japan
http://example.com/heritage/id/877626w,Historic Villages of Shirakawa-gō and Gokayama,Japan
http://example.com/heritage/id/17210757w,Tajima Yahei Sericulture Farm,Japan
http://example.com/heritage/id/10889854w,Anijima,Japan
http://example.com/heritage/id/10943106w,Imōtojima,Japan
http://example.com/heritage/id/11359978w,Kamiishizu Misanzai Kofun,Japan
http://example.com/heritage/id/11410610w,Osamezuka Kofun,Japan
http://example.com/heritage/id/11429120w,Hakayama Kofun,Japan
http://example.com/heritage/id/11669662w,Takashima Coal Mine,Japan
http://example.com/heritage/id/11357227w,Port of Misumi,Japan
http://example.com/heritage/id/11378467w,Nakatsuyama Kofun,Japan
http://example.com/heritage/id/11650613w,Nabezuka Kofun,Japan
http://example.com/heritage/id/11567538w,Muryōkō-in Ato,Japan
http://example.com/heritage/id/11648027w,Kinkeizan,Japan
http://example.com/heritage/id/1072125w,Chichijima,Japan
http://example.com/heritage/id/8048278w,Yanbaru,Japan
http://example.com/heritage/id/5366860w,Hisaka Island,Japan
http://example.com/heritage/id/20043361w,Ebisugahana Shipyard,Japan
http://example.com/heritage/id/66087931w,Ogimachi Village,Japan
http://example.com/heritage/id/66089098w,Ogasawara Islands marine area (1),Japan
http://example.com/heritage/id/66089147w,Ogasawara Islands marine area (2),Japan
http://example.com/heritage/id/66089896w,Deguchi-ike Pond,Japan
http://example.com/heritage/id/10943140w,Anejima,Japan
http://example.com/heritage/id/49641014w,Higashijima,Japan
http://example.com/heritage/id/3179279w,Jison-in,Japan
http://example.com/heritage/id/3080218w,Kanjizaiō-in,Japan
http://example.com/heritage/id/66124383w,Nishiumazuka Kofun,Japan
http://example.com/heritage/id/28690431w,Ōfune Site,Japan
http://example.com/heritage/id/49646126w,Kitanoshima,Japan
http://example.com/heritage/id/39231w,Mount Fuji,Japan
http://example.com/heritage/id/324638w,Sacred Island of Okinoshima and Associated Sites in the Munakata Region,Japan
http://example.com/heritage/id/11471921w,Oka Misanzai Kofun,Japan
http://example.com/heritage/id/11489009w,Gobyōyama Kofun,Japan
http://example.com/heritage/id/66124367w,Zen'emon'yama Kofun,Japan
http://example.com/heritage/id/66089879w,former house of the Togawa Family,Japan
http://example.com/heritage/id/66089906w,Nigori-ike Pond,Japan
http://example.com/heritage/id/66111215w,Hetsu-gū,Japan
http://example.com/heritage/id/66124380w,Higashiumazuka Kofun,Japan
http://example.com/heritage/id/66124381w,Kurizuka Kofun,Japan
http://example.com/heritage/id/66124365w,Terayama-minamiyama Kofun,Japan
http://example.com/heritage/id/30593786w,Futatsumori Site,Japan
http://example.com/heritage/id/1333799w,Buddhist Monuments in the Hōryū-ji Area,Japan
http://example.com/heritage/id/55619850w,The Architectural Work of Le Corbusier,Japan
http://example.com/heritage/id/55619850w,The Architectural Work of Le Corbusier,Japan
http://example.com/heritage/id/55619850w,The Architectural Work of Le Corbusier,Japan
http://example.com/heritage/id/55619850w,The Architectural Work of Le Corbusier,Japan
http://example.com/heritage/id/55619850w,The Architectural Work of Le Corbusier,Japan
http://example.com/heritage/id/55619850w,The Architectural Work of Le Corbusier,Japan
http://example.com/heritage/id/55619850w,The Architectural Work of Le Corbusier,Japan
http://example.com/heritage/id/48751867w,Dōgameyama Kofun,Japan
http://example.com/heritage/id/7082047w,Okinoshima,Japan
http://example.com/heritage/id/17209498w,Takayama-sha,Japan
http://example.com/heritage/id/66111203w,Koyajima,Japan
http://example.com/heritage/id/66111209w,Tenguiwa,Japan
http://example.com/heritage/id/66087932w,Ogimachi Village 2,Japan
http://example.com/heritage/id/66124385w,Aoyama Kofun,Japan
http://example.com/heritage/id/66124362w,Hatazuka Kofun,Japan
http://example.com/heritage/id/66092176w,Mitsubishi No.3 Dry Dock,Japan
http://example.com/heritage/id/7751872w,"Sites of Japan’s Meiji Industrial Revolution: Iron and Steel, Shipbuilding and Coal Mining",Japan
http://example.com/heritage/id/66088085w,Kasuga-Taisha and Kasugayama Primeval Forest,Japan
http://example.com/heritage/id/66124373w,Suketayama Kofun,Japan
http://example.com/heritage/id/501638w,Shirakami-Sanchi,Japan
http://example.com/heritage/id/11586447w,Iwami Ginzan Kaidō,Japan
http://example.com/heritage/id/701847w,Tokunoshima,Japan
http://example.com/heritage/id/1055749w,Historic Monuments of Ancient Nara,Japan
http://example.com/heritage/id/508866w,Nakijin Castle,Japan
http://example.com/heritage/id/432124w,Iriomote Island,Japan
http://example.com/heritage/id/869275w,Miho no Matsubara,Japan
http://example.com/heritage/id/211585w,Heijō Palace,Japan
http://example.com/heritage/id/473472w,Hahajima,Japan
http://example.com/heritage/id/1036938w,Mount Yoshino,Japan
http://example.com/heritage/id/3197197w,Kinpu Shrine,Japan
http://example.com/heritage/id/2471589w,Katsuren Castle,Japan
http://example.com/heritage/id/1151821w,North Iwo Jima,Japan
http://example.com/heritage/id/2660144w,Chūson-ji,Japan
http://example.com/heritage/id/93643w,Hidden Christian Sites in the Nagasaki Region,Japan
http://example.com/heritage/id/11489085w,Goshono Site,Japan
http://example.com/heritage/id/11370708w,Kamegaoka Stone Age Site,Japan
http://example.com/heritage/id/11487395w,Otōtojima,Japan
http://example.com/heritage/id/11467749w,Yamamiya Sengen Shrine,Japan
http://example.com/heritage/id/11544148w,Hashino iron mining and smelting site,Japan
http://example.com/heritage/id/11423449w,Haze Nisanzai Kofun,Japan
http://example.com/heritage/id/11407776w,Minamijima,Japan
